帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11203,A0804-02-003,125.0,016,社寮里,10008040,竹山鎮,10008,南投縣
11205,A0803-07-013,11356.0,004,敦和里,10008030,草屯鎮,10008,南投縣
11205,A0803-07-014,67285.0,026,明正里,10008030,草屯鎮,10008,南投縣
11206,A0801-03-014,86910.0,022,鳳山里,10008010,南投市,10008,南投縣
11203,A0804-02-010,2190.0,011,延平里,10008040,竹山鎮,10008,南投縣
11205,A0803-07-010,9532.0,004,敦和里,10008030,草屯鎮,10008,南投縣
11205,A0802-28-004,0.0,011,水頭里,10008020,埔里鎮,10008,南投縣
11203,A0804-02-007,23447.0,012,延正里,10008040,竹山鎮,10008,南投縣
11203,A0812-04-012,136.0,010,神木村,10008120,信義鄉,10008,南投縣
11203,A0804-02-009,86.0,006,下坪里,10008040,竹山鎮,10008,南投縣
11203,A0803-23-001,118129.0,004,敦和里,10008030,草屯鎮,10008,南投縣
11212,A0804-12-015,17245.0,003,中山里,10008040,竹山鎮,10008,南投縣
11212,A0804-12-014,96180.0,003,中山里,10008040,竹山鎮,10008,南投縣
11203,A0803-23-002,40645.0,011,復興里,10008030,草屯鎮,10008,南投縣
11212,A0804-12-016,80255.0,003,中山里,10008040,竹山鎮,10008,南投縣
11202,A0806-06-009,34219.0,002,中正村,10008060,名間鄉,10008,南投縣
11202,A0806-06-003,38141.0,008,東湖村,10008060,名間鄉,10008,南投縣
11202,A0806-06-004,52509.0,008,東湖村,10008060,名間鄉,10008,南投縣
11202,A0806-06-005,5528.0,023,仁和村,10008060,名間鄉,10008,南投縣
11202,A0806-06-006,121368.0,003,中山村,10008060,名間鄉,10008,南投縣
11202,A0806-06-007,31306.0,002,中正村,10008060,名間鄉,10008,南投縣
11202,A0806-06-008,93371.0,002,中正村,10008060,名間鄉,10008,南投縣
11203,A0806-07-023,0.0,004,濁水村,10008060,名間鄉,10008,南投縣
11210,A0801-07-011,12704.0,011,東山里,10008010,南投市,10008,南投縣
11210,A0801-07-012,82402.0,029,內興里,10008010,南投市,10008,南投縣
11210,A0801-07-013,113595.0,010,軍功里,10008010,南投市,10008,南投縣
11202,A0812-03-002,0.0,007,羅娜村,10008120,信義鄉,10008,南投縣
11211,A0804-11-003,120925.0,014,延和里,10008040,竹山鎮,10008,南投縣
11211,A0804-11-006,11125.0,001,竹山里,10008040,竹山鎮,10008,南投縣
11211,A0804-11-008,110075.0,014,延和里,10008040,竹山鎮,10008,南投縣
11202,A0812-03-015,41763.0,008,望美村,10008120,信義鄉,10008,南投縣
11202,A0812-03-014,20389.0,009,同富村,10008120,信義鄉,10008,南投縣
11203,A0803-23-011,56263.0,004,敦和里,10008030,草屯鎮,10008,南投縣
11203,A0803-23-005,7307.0,025,中山里,10008030,草屯鎮,10008,南投縣
11203,A0803-23-007,68589.0,011,復興里,10008030,草屯鎮,10008,南投縣
11203,A0803-23-006,38192.0,004,敦和里,10008030,草屯鎮,10008,南投縣
11203,A0803-23-009,0.0,009,碧峰里,10008030,草屯鎮,10008,南投縣
11209,A0803-30-009,294.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11203,A0803-23-008,114274.0,025,中山里,10008030,草屯鎮,10008,南投縣
11209,A0803-30-005,90170.0,011,復興里,10008030,草屯鎮,10008,南投縣
11206,A0801-03-002,200.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-001,2778.0,026,福興里,10008010,南投市,10008,南投縣
11207,A0712-08-007,834.0,003,東源里,10007120,田中鎮,10007,彰化縣
11207,A0712-08-001,375.0,005,平和里,10007120,田中鎮,10007,彰化縣
11211,A0804-11-001,57721.0,014,延和里,10008040,竹山鎮,10008,南投縣
11206,A0801-03-013,93659.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-012,52798.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-011,66792.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-010,68794.0,022,鳳山里,10008010,南投市,10008,南投縣
11206,A0801-03-009,40759.0,022,鳳山里,10008010,南投市,10008,南投縣
11206,A0801-03-008,139.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-007,90560.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-006,2188.0,022,鳳山里,10008010,南投市,10008,南投縣
11207,A0712-08-012,40.0,001,香山里,10007120,田中鎮,10007,彰化縣
11206,A0801-03-005,104891.0,026,福興里,10008010,南投市,10008,南投縣
11206,A0801-03-004,2425.0,022,鳳山里,10008010,南投市,10008,南投縣
11206,A0801-03-003,10111.0,026,福興里,10008010,南投市,10008,南投縣
11204,A0802-27-015,16617.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11204,A0802-27-016,790.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11204,A0812-05-011,1461.0,014,豐丘村,10008120,信義鄉,10008,南投縣
11204,A0802-27-013,1523.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11204,A0812-05-010,48106.0,004,明德村,10008120,信義鄉,10008,南投縣
11204,A0802-27-014,59755.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11204,A0802-27-011,59030.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11204,A0802-27-012,96710.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11212,A0803-15-005,499.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11212,A0803-15-006,0.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11212,A0803-15-003,3827.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11202,A0803-22-002,13757.0,002,炎峰里,10008030,草屯鎮,10008,南投縣
11201,A0801-15-010,20475.0,009,漳和里,10008010,南投市,10008,南投縣
11202,A0803-22-003,19419.0,002,炎峰里,10008030,草屯鎮,10008,南投縣
11202,A0803-22-001,16323.0,002,炎峰里,10008030,草屯鎮,10008,南投縣
11204,A0812-05-004,56990.0,001,人和村,10008120,信義鄉,10008,南投縣
11204,A0802-27-006,89256.0,014,溪南里,10008020,埔里鎮,10008,南投縣
11204,A0812-05-003,29170.0,001,人和村,10008120,信義鄉,10008,南投縣
11202,A0803-22-008,82605.0,027,新厝里,10008030,草屯鎮,10008,南投縣
11204,A0812-05-006,27307.0,001,人和村,10008120,信義鄉,10008,南投縣
11204,A0802-27-004,74041.0,014,溪南里,10008020,埔里鎮,10008,南投縣
11204,A0812-05-005,918.0,001,人和村,10008120,信義鄉,10008,南投縣
11204,A0802-27-005,4663.0,014,溪南里,10008020,埔里鎮,10008,南投縣
11202,A0803-22-006,68629.0,027,新厝里,10008030,草屯鎮,10008,南投縣
11202,A0803-22-007,1739.0,027,新厝里,10008030,草屯鎮,10008,南投縣
11204,A0802-27-003,17514.0,014,溪南里,10008020,埔里鎮,10008,南投縣
11204,A0812-05-002,16562.0,002,地利村,10008120,信義鄉,10008,南投縣
11204,A0812-05-001,28864.0,001,人和村,10008120,信義鄉,10008,南投縣
11204,A0802-27-001,181658.0,017,南村里,10008020,埔里鎮,10008,南投縣
11204,A0812-05-008,54489.0,004,明德村,10008120,信義鄉,10008,南投縣
11202,A0804-01-006,0.0,017,中央里,10008040,竹山鎮,10008,南投縣
11204,A0812-05-007,57542.0,001,人和村,10008120,信義鄉,10008,南投縣
11204,A0802-27-008,127908.0,015,桃米里,10008020,埔里鎮,10008,南投縣
11202,A0804-01-004,0.0,018,富州里,10008040,竹山鎮,10008,南投縣
11204,A0812-05-009,94647.0,004,明德村,10008120,信義鄉,10008,南投縣
11204,A0802-27-009,138328.0,013,珠格里,10008020,埔里鎮,10008,南投縣
11212,A0803-15-011,27412.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11204,A0802-27-010,79743.0,014,溪南里,10008020,埔里鎮,10008,南投縣
11202,A0803-22-011,80109.0,027,新厝里,10008030,草屯鎮,10008,南投縣
11202,A0803-22-012,109666.0,005,山腳里,10008030,草屯鎮,10008,南投縣
11202,A0803-22-010,67904.0,027,新厝里,10008030,草屯鎮,10008,南投縣
11206,A0801-21-007,116957.0,012,平和里,10008010,南投市,10008,南投縣
11206,A0801-21-008,99172.0,012,平和里,10008010,南投市,10008,南投縣
11206,A0801-21-009,38102.0,012,平和里,10008010,南投市,10008,南投縣
11202,A0709-08-007,808.0,009,圳墘村,10007090,芬園鄉,10007,彰化縣
11201,A0806-05-006,2379.0,008,東湖村,10008060,名間鄉,10008,南投縣
11210,A0801-07-001,63319.0,034,光輝里,10008010,南投市,10008,南投縣
11210,A0801-07-002,11152.0,031,光華里,10008010,南投市,10008,南投縣
11210,A0801-07-003,819.0,032,光榮里,10008010,南投市,10008,南投縣
11201,A0806-05-001,59864.0,010,田仔村,10008060,名間鄉,10008,南投縣
11210,A0801-07-004,80761.0,032,光榮里,10008010,南投市,10008,南投縣
11201,A0806-05-002,96868.0,010,田仔村,10008060,名間鄉,10008,南投縣
11210,A0801-07-005,213.0,032,光榮里,10008010,南投市,10008,南投縣
11210,A0801-07-006,2556.0,033,光明里,10008010,南投市,10008,南投縣
11210,A0801-07-007,22974.0,033,光明里,10008010,南投市,10008,南投縣
11206,A0801-21-003,26104.0,012,平和里,10008010,南投市,10008,南投縣
11206,A0801-21-004,95931.0,012,平和里,10008010,南投市,10008,南投縣
11210,A0801-07-009,102098.0,029,內興里,10008010,南投市,10008,南投縣
11206,A0801-21-005,46494.0,012,平和里,10008010,南投市,10008,南投縣
11210,A0803-31-001,121717.0,009,碧峰里,10008030,草屯鎮,10008,南投縣
11206,A0801-21-006,43102.0,012,平和里,10008010,南投市,10008,南投縣
11210,A0803-31-002,175482.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11206,A0801-21-001,57563.0,012,平和里,10008010,南投市,10008,南投縣
11206,A0801-21-002,70432.0,012,平和里,10008010,南投市,10008,南投縣
11210,A0803-31-007,120529.0,012,上林里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-008,190144.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-009,13280.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-004,6677.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-005,93770.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-006,79053.0,012,上林里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-010,49351.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-011,94979.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-012,28216.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-013,3518.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11210,A0803-31-014,51516.0,010,碧洲里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-010,41903.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-001,126795.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-002,43928.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-003,46740.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-004,96763.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-005,59690.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-006,35371.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-007,69365.0,008,新豐里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-008,83283.0,007,御史里,10008030,草屯鎮,10008,南投縣
11204,A0803-06-009,42841.0,007,御史里,10008030,草屯鎮,10008,南投縣
11208,A0806-13-010,40064.0,005,炭寮村,10008060,名間鄉,10008,南投縣
11208,A0806-13-013,60106.0,005,炭寮村,10008060,名間鄉,10008,南投縣
11204,A0804-21-010,48345.0,023,瑞竹里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-015,29193.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-016,48038.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-017,8718.0,023,瑞竹里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-018,42657.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-011,781.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-012,337946.0,019,大鞍里,10008040,竹山鎮,10008,南投縣
11208,A0806-13-014,5125.0,005,炭寮村,10008060,名間鄉,10008,南投縣
11204,A0804-21-013,99393.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-014,26161.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11205,A0801-02-015,0.0,032,光榮里,10008010,南投市,10008,南投縣
11205,A0801-02-014,21.0,033,光明里,10008010,南投市,10008,南投縣
11204,A0804-21-008,5897.0,024,坪頂里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-009,67075.0,023,瑞竹里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-002,58828.0,013,延山里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-001,81517.0,013,延山里,10008040,竹山鎮,10008,南投縣
11203,A0812-04-002,107977.0,009,同富村,10008120,信義鄉,10008,南投縣
11203,A0812-04-001,61120.0,009,同富村,10008120,信義鄉,10008,南投縣
11203,A0812-04-004,81240.0,009,同富村,10008120,信義鄉,10008,南投縣
11203,A0812-04-003,581.0,009,同富村,10008120,信義鄉,10008,南投縣
11203,A0812-04-005,20679.0,009,同富村,10008120,信義鄉,10008,南投縣
11208,A0804-19-009,1140.0,026,秀林里,10008040,竹山鎮,10008,南投縣
11204,A0804-21-020,17056.0,025,桶頭里,10008040,竹山鎮,10008,南投縣
11208,A0806-13-002,93314.0,020,崁腳村,10008060,名間鄉,10008,南投縣
11208,A0804-19-008,28687.0,020,田子里,10008040,竹山鎮,10008,南投縣
11208,A0806-13-001,42629.0,020,崁腳村,10008060,名間鄉,10008,南投縣
11208,A0804-19-007,4625.0,020,田子里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-006,38687.0,020,田子里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-005,25033.0,021,福興里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-004,93655.0,026,秀林里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-003,62109.0,026,秀林里,10008040,竹山鎮,10008,南投縣
11208,A0806-13-008,120.0,019,埔中村,10008060,名間鄉,10008,南投縣
11208,A0806-13-007,66560.0,005,炭寮村,10008060,名間鄉,10008,南投縣
11205,A0801-02-013,0.0,032,光榮里,10008010,南投市,10008,南投縣
11208,A0806-13-004,33577.0,020,崁腳村,10008060,名間鄉,10008,南投縣
11208,A0806-13-003,40465.0,005,炭寮村,10008060,名間鄉,10008,南投縣
11205,A0801-02-006,122.0,031,光華里,10008010,南投市,10008,南投縣
11205,A0801-02-007,111.0,031,光華里,10008010,南投市,10008,南投縣
11208,A0804-19-013,2522.0,019,大鞍里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-012,205165.0,021,福興里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-011,33533.0,020,田子里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-010,33386.0,026,秀林里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-016,14790.0,020,田子里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-015,26160.0,020,田子里,10008040,竹山鎮,10008,南投縣
11208,A0804-19-014,20791.0,021,福興里,10008040,竹山鎮,10008,南投縣
11206,A0810-02-001,2737.0,013,長豐村,10008100,國姓鄉,10008,南投縣
11207,A0803-10-003,21295.0,015,石川里,10008030,草屯鎮,10008,南投縣
11207,A0803-10-002,9541.0,015,石川里,10008030,草屯鎮,10008,南投縣
11201,A0803-21-006,65028.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11207,A0801-22-007,86686.0,002,康壽里,10008010,南投市,10008,南投縣
11201,A0803-21-007,113018.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11207,A0801-22-008,164545.0,003,三民里,10008010,南投市,10008,南投縣
11201,A0803-21-004,104451.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11201,A0803-21-005,41800.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11203,A0802-26-022,1164.0,015,桃米里,10008020,埔里鎮,10008,南投縣
11201,A0803-21-008,103153.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11201,A0803-21-009,94426.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11203,A0802-26-021,2226.0,015,桃米里,10008020,埔里鎮,10008,南投縣
11209,A0802-15-008,135929.0,004,北門里,10008020,埔里鎮,10008,南投縣
11209,A0802-15-009,113217.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11209,A0802-15-006,81677.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11211,A0803-14-010,75665.0,004,敦和里,10008030,草屯鎮,10008,南投縣
11201,A0801-33-015,1358.0,017,嘉興里,10008010,南投市,10008,南投縣
11209,A0802-15-007,93090.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11206,A0804-05-011,96475.0,011,延平里,10008040,竹山鎮,10008,南投縣
11201,A0801-33-001,83819.0,013,振興里,10008010,南投市,10008,南投縣
11201,A0801-33-002,47642.0,013,振興里,10008010,南投市,10008,南投縣
11201,A0801-33-003,95756.0,013,振興里,10008010,南投市,10008,南投縣
11201,A0801-33-004,81771.0,013,振興里,10008010,南投市,10008,南投縣
11201,A0801-33-005,75115.0,013,振興里,10008010,南投市,10008,南投縣
11201,A0801-33-006,19002.0,017,嘉興里,10008010,南投市,10008,南投縣
11209,A0802-15-001,41344.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11203,A0802-26-009,13074.0,018,愛蘭里,10008020,埔里鎮,10008,南投縣
11203,A0802-26-008,126695.0,018,愛蘭里,10008020,埔里鎮,10008,南投縣
11209,A0802-15-004,14594.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11209,A0802-15-005,66877.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11201,A0801-33-010,120.0,014,千秋里,10008010,南投市,10008,南投縣
11209,A0802-15-002,91656.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11209,A0802-15-003,159648.0,033,泰安里,10008020,埔里鎮,10008,南投縣
11203,A0802-26-003,46569.0,018,愛蘭里,10008020,埔里鎮,10008,南投縣
11203,A0802-26-001,20485.0,019,鐵山里,10008020,埔里鎮,10008,南投縣
11206,A0804-05-008,14691.0,011,延平里,10008040,竹山鎮,10008,南投縣
11206,A0804-05-009,63642.0,011,延平里,10008040,竹山鎮,10008,南投縣
11203,A0802-26-007,37971.0,017,南村里,10008020,埔里鎮,10008,南投縣
11206,A0804-05-006,61460.0,011,延平里,10008040,竹山鎮,10008,南投縣
11203,A0802-26-006,41390.0,018,愛蘭里,10008020,埔里鎮,10008,南投縣
11204,A0813-02-015,52252.0,003,互助村,10008130,仁愛鄉,10008,南投縣
11203,A0802-26-004,81737.0,018,愛蘭里,10008020,埔里鎮,10008,南投縣
11207,A0801-22-001,31377.0,008,漳興里,10008010,南投市,10008,南投縣
11207,A0801-22-002,138371.0,008,漳興里,10008010,南投市,10008,南投縣
11201,A0803-21-002,79775.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11207,A0801-22-003,133815.0,008,漳興里,10008010,南投市,10008,南投縣
11201,A0803-21-003,55166.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11207,A0801-22-004,136815.0,002,康壽里,10008010,南投市,10008,南投縣
11207,A0801-22-005,82909.0,002,康壽里,10008010,南投市,10008,南投縣
11201,A0803-21-001,76218.0,006,富寮里,10008030,草屯鎮,10008,南投縣
11207,A0801-22-006,93792.0,002,康壽里,10008010,南投市,10008,南投縣
11204,A0813-02-001,151093.0,006,發祥村,10008130,仁愛鄉,10008,南投縣
11204,A0813-02-002,22281.0,006,發祥村,10008130,仁愛鄉,10008,南投縣
11203,A0803-05-014,99.0,014,北投里,10008030,草屯鎮,10008,南投縣
11205,A0806-10-001,51.0,003,中山村,10008060,名間鄉,10008,南投縣
11201,A0802-12-010,36438.0,030,北安里,10008020,埔里鎮,10008,南投縣
11201,A0802-12-004,21811.0,030,北安里,10008020,埔里鎮,10008,南投縣
11201,A0802-12-008,21856.0,030,北安里,10008020,埔里鎮,10008,南投縣
11201,A0802-12-006,79359.0,030,北安里,10008020,埔里鎮,10008,南投縣
11201,A0802-12-009,68187.0,030,北安里,10008020,埔里鎮,10008,南投縣
11204,A0813-02-010,66712.0,003,互助村,10008130,仁愛鄉,10008,南投縣
11204,A0813-02-011,40784.0,003,互助村,10008130,仁愛鄉,10008,南投縣
11204,A0813-02-012,3243.0,004,新生村,10008130,仁愛鄉,10008,南投縣
11208,A6629-04-008,2968.0,002,天輪里,66000290,和平區,66000,臺中市
11203,A0803-05-007,0.0,013,新庄里,10008030,草屯鎮,10008,南投縣
11204,A0813-02-013,2692.0,004,新生村,10008130,仁愛鄉,10008,南投縣
11203,A0801-17-011,9382.0,025,永豐里,10008010,南投市,10008,南投縣
11203,A0801-17-010,158518.0,023,平山里,10008010,南投市,10008,南投縣
11203,A0801-17-015,149553.0,023,平山里,10008010,南投市,10008,南投縣
11203,A0801-17-014,67827.0,023,平山里,10008010,南投市,10008,南投縣
11203,A0801-17-013,33296.0,023,平山里,10008010,南投市,10008,南投縣
11203,A0801-17-012,16725.0,023,平山里,10008010,南投市,10008,南投縣
11204,A0813-02-007,15829.0,004,新生村,10008130,仁愛鄉,10008,南投縣
11204,A0813-02-008,72205.0,004,新生村,10008130,仁愛鄉,10008,南投縣
11204,A0813-02-009,24040.0,003,互助村,10008130,仁愛鄉,10008,南投縣
11203,A0801-17-016,73826.0,023,平山里,10008010,南投市,10008,南投縣
11204,A0813-02-003,1222.0,004,新生村,10008130,仁愛鄉,10008,南投縣
