帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11205,A6607-10-001,94835.0,011,溝墘里,66000070,南屯區,66000,臺中市
11205,A6607-10-002,149597.0,022,大業里,66000070,南屯區,66000,臺中市
11205,A6607-10-003,97995.0,011,溝墘里,66000070,南屯區,66000,臺中市
11202,A6618-11-006,102961.0,014,大楓里,66000180,大雅區,66000,臺中市
11202,A6618-11-007,91103.0,014,大楓里,66000180,大雅區,66000,臺中市
11202,A6618-11-004,120052.0,014,大楓里,66000180,大雅區,66000,臺中市
11202,A6618-11-005,86485.0,008,西寶里,66000180,大雅區,66000,臺中市
11202,A6618-11-002,65289.0,014,大楓里,66000180,大雅區,66000,臺中市
11202,A6618-11-003,83275.0,008,西寶里,66000180,大雅區,66000,臺中市
11202,A6618-11-001,81066.0,008,西寶里,66000180,大雅區,66000,臺中市
11202,A6618-11-008,107396.0,008,西寶里,66000180,大雅區,66000,臺中市
11209,A6619-09-006,157180.0,011,慶西里,66000190,新社區,66000,臺中市
11211,A6611-37-001,112193.0,004,孔門里,66000110,大甲區,66000,臺中市
11211,A6611-37-002,12505.0,004,孔門里,66000110,大甲區,66000,臺中市
11209,A6619-09-007,100354.0,011,慶西里,66000190,新社區,66000,臺中市
11201,A6605-47-003,0.0,048,錦平里,66000050,北區,66000,臺中市
11205,A6607-10-008,97411.0,023,惠中里,66000070,南屯區,66000,臺中市
11211,A6611-37-005,103325.0,003,順天里,66000110,大甲區,66000,臺中市
11205,A6607-10-009,136724.0,023,惠中里,66000070,南屯區,66000,臺中市
11211,A6611-37-006,193899.0,002,大甲里,66000110,大甲區,66000,臺中市
11211,A6611-37-003,56717.0,004,孔門里,66000110,大甲區,66000,臺中市
11211,A6611-37-004,182934.0,003,順天里,66000110,大甲區,66000,臺中市
11205,A6607-10-004,81429.0,022,大業里,66000070,南屯區,66000,臺中市
11205,A6607-10-005,59812.0,011,溝墘里,66000070,南屯區,66000,臺中市
11205,A6607-10-006,96831.0,023,惠中里,66000070,南屯區,66000,臺中市
11211,A6611-37-007,104448.0,003,順天里,66000110,大甲區,66000,臺中市
11205,A6607-10-007,93585.0,023,惠中里,66000070,南屯區,66000,臺中市
11211,A6611-37-008,36001.0,007,新美里,66000110,大甲區,66000,臺中市
11210,A6628-09-005,24764.0,008,內新里,66000280,大里區,66000,臺中市
11203,A6610-02-003,0.0,025,明正里,66000100,東勢區,66000,臺中市
11203,A6610-02-005,0.0,025,明正里,66000100,東勢區,66000,臺中市
11203,A6610-02-001,0.0,025,明正里,66000100,東勢區,66000,臺中市
11207,A6612-12-001,2314.0,030,楊厝里,66000120,清水區,66000,臺中市
11212,A6625-27-005,0.0,001,竹坑里,66000250,龍井區,66000,臺中市
11210,A6628-09-002,22799.0,008,內新里,66000280,大里區,66000,臺中市
11201,A6604-21-001,84556.0,033,公德里,66000040,西區,66000,臺中市
11201,A6604-21-002,70101.0,033,公德里,66000040,西區,66000,臺中市
11201,A6604-21-003,130752.0,033,公德里,66000040,西區,66000,臺中市
11201,A6604-21-004,84967.0,033,公德里,66000040,西區,66000,臺中市
11212,A6610-12-008,92256.0,005,延平里,66000100,東勢區,66000,臺中市
11212,A6610-12-006,76834.0,005,延平里,66000100,東勢區,66000,臺中市
11212,A6610-12-007,106870.0,005,延平里,66000100,東勢區,66000,臺中市
11201,A6604-21-009,56153.0,035,大忠里,66000040,西區,66000,臺中市
11201,A6604-21-005,87543.0,033,公德里,66000040,西區,66000,臺中市
