帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11202,A1401-17-007,161509.0,031,豐年里,10014010,臺東市,10014,臺東縣
11206,A1410-03-001,40.0,003,大武村,10014100,大武鄉,10014,臺東縣
11202,A1401-17-008,84441.0,034,永樂里,10014010,臺東市,10014,臺東縣
11202,A1401-17-009,72319.0,034,永樂里,10014010,臺東市,10014,臺東縣
11202,A1401-17-003,31012.0,031,豐年里,10014010,臺東市,10014,臺東縣
11202,A1401-17-005,9316.0,031,豐年里,10014010,臺東市,10014,臺東縣
11202,A1401-17-006,115193.0,031,豐年里,10014010,臺東市,10014,臺東縣
11202,A1401-17-001,86447.0,031,豐年里,10014010,臺東市,10014,臺東縣
11206,A1401-31-001,411.0,029,新園里,10014010,臺東市,10014,臺東縣
11202,A1401-17-002,199305.0,031,豐年里,10014010,臺東市,10014,臺東縣
11206,A1401-31-002,90673.0,029,新園里,10014010,臺東市,10014,臺東縣
11208,A1401-06-001,22738.0,005,卑南里,10014010,臺東市,10014,臺東縣
11207,A1401-23-005,49307.0,012,自強里,10014010,臺東市,10014,臺東縣
11207,A1401-23-007,141739.0,012,自強里,10014010,臺東市,10014,臺東縣
11207,A1401-23-002,22067.0,012,自強里,10014010,臺東市,10014,臺東縣
11207,A1401-23-001,36346.0,011,中心里,10014010,臺東市,10014,臺東縣
11207,A1401-23-004,76053.0,012,自強里,10014010,臺東市,10014,臺東縣
11207,A1401-23-003,59401.0,012,自強里,10014010,臺東市,10014,臺東縣
11208,A1401-06-009,1535.0,005,卑南里,10014010,臺東市,10014,臺東縣
11211,A1401-18-009,27496.0,017,建國里,10014010,臺東市,10014,臺東縣
11211,A1401-18-008,100793.0,017,建國里,10014010,臺東市,10014,臺東縣
11211,A1401-18-007,18998.0,017,建國里,10014010,臺東市,10014,臺東縣
11211,A1401-18-005,40.0,015,中華里,10014010,臺東市,10014,臺東縣
11208,A1401-06-008,27310.0,005,卑南里,10014010,臺東市,10014,臺東縣
11211,A1401-18-004,9319.0,015,中華里,10014010,臺東市,10014,臺東縣
11211,A1401-18-001,3549.0,015,中華里,10014010,臺東市,10014,臺東縣
11202,A1401-17-010,199271.0,034,永樂里,10014010,臺東市,10014,臺東縣
11201,A1401-25-008,93958.0,021,大同里,10014010,臺東市,10014,臺東縣
11201,A1401-25-007,18042.0,021,大同里,10014010,臺東市,10014,臺東縣
11201,A1401-25-006,138141.0,020,中正里,10014010,臺東市,10014,臺東縣
11201,A1401-25-005,74851.0,016,強國里,10014010,臺東市,10014,臺東縣
11201,A1401-25-004,126127.0,020,中正里,10014010,臺東市,10014,臺東縣
11201,A1401-25-003,72223.0,016,強國里,10014010,臺東市,10014,臺東縣
11201,A1401-25-001,42223.0,016,強國里,10014010,臺東市,10014,臺東縣
11210,A1401-35-001,233683.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11210,A1401-35-003,238067.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11210,A1401-35-002,252768.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11210,A1401-35-005,113028.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11210,A1401-35-004,114738.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11210,A1401-35-007,31348.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11210,A1401-35-006,274715.0,038,豐榮里,10014010,臺東市,10014,臺東縣
11208,A1401-15-009,97372.0,008,民生里,10014010,臺東市,10014,臺東縣
11208,A1401-15-007,41070.0,008,民生里,10014010,臺東市,10014,臺東縣
11208,A1401-15-008,99646.0,008,民生里,10014010,臺東市,10014,臺東縣
11208,A1401-15-001,143503.0,007,新生里,10014010,臺東市,10014,臺東縣
