年度,縣市,用電性質,用電比例,,
2025,新北市,住宅,42.52,,
2025,新北市,服務業,28.64,,
2025,新北市,機關(政府+包燈+大專院校),2.97,,
2025,新北市,工業,25.76,,
2025,新北市,其他,0.11,,
2025,台北市,住宅,34.2,,
2025,台北市,服務業,54.34,,
2025,台北市,機關(政府+包燈+大專院校),8.34,,
2025,台北市,工業,3.1,,
2025,台北市,其他,0.01,,
2025,桃園市,住宅,19.22,,
2025,桃園市,服務業,15.27,,
2025,桃園市,機關(政府+包燈+大專院校),1.74,,
2025,桃園市,工業,63.57,,
2025,桃園市,其他,0.2,,
2025,台中市,住宅,19.73,,
2025,台中市,服務業,15.86,,
2025,台中市,機關(政府+包燈+大專院校),1.97,,
2025,台中市,工業,61.98,,
2025,台中市,其他,0.45,,
2025,台南市,住宅,13.28,,
2025,台南市,服務業,9.09,,
2025,台南市,機關(政府+包燈+大專院校),1.31,,
2025,台南市,工業,74.97,,
2025,台南市,其他,1.35,,
2025,高雄市,住宅,19.9,,
2025,高雄市,服務業,16.62,,
2025,高雄市,機關(政府+包燈+大專院校),2.62,,
2025,高雄市,工業,60.02,,
2025,高雄市,其他,0.85,,
2025,宜蘭縣,住宅,30.22,,
2025,宜蘭縣,服務業,21.57,,
2025,宜蘭縣,機關(政府+包燈+大專院校),3.71,,
2025,宜蘭縣,工業,42.45,,
2025,宜蘭縣,其他,2.05,,
2025,新竹縣,住宅,12.27,,
2025,新竹縣,服務業,8.02,,
2025,新竹縣,機關(政府+包燈+大專院校),1.05,,
2025,新竹縣,工業,78.48,,
2025,新竹縣,其他,0.19,,
2025,苗栗縣,住宅,15.32,,
2025,苗栗縣,服務業,7.94,,
2025,苗栗縣,機關(政府+包燈+大專院校),1.67,,
2025,苗栗縣,工業,74.63,,
2025,苗栗縣,其他,0.44,,
2025,彰化縣,住宅,22.23,,
2025,彰化縣,服務業,21.97,,
2025,彰化縣,機關(政府+包燈+大專院校),2,,
2025,彰化縣,工業,49.28,,
2025,彰化縣,其他,4.52,,
2025,南投縣,住宅,32.91,,
2025,南投縣,服務業,20.07,,
2025,南投縣,機關(政府+包燈+大專院校),4.38,,
2025,南投縣,工業,38.61,,
2025,南投縣,其他,4.03,,
2025,雲林縣,住宅,25.94,,
2025,雲林縣,服務業,12.66,,
2025,雲林縣,機關(政府+包燈+大專院校),2.76,,
2025,雲林縣,工業,50.63,,
2025,雲林縣,其他,8.02,,
2025,嘉義縣,住宅,30.85,,
2025,嘉義縣,服務業,14.72,,
2025,嘉義縣,機關(政府+包燈+大專院校),4.36,,
2025,嘉義縣,工業,41.1,,
2025,嘉義縣,其他,8.97,,
2025,屏東縣,住宅,34.23,,
2025,屏東縣,服務業,21.12,,
2025,屏東縣,機關(政府+包燈+大專院校),4.32,,
2025,屏東縣,工業,25.74,,
2025,屏東縣,其他,14.6,,
2025,台東縣,住宅,42.71,,
2025,台東縣,服務業,35.25,,
2025,台東縣,機關(政府+包燈+大專院校),7.39,,
2025,台東縣,工業,11.75,,
2025,台東縣,其他,2.89,,
2025,花蓮縣,住宅,28.85,,
2025,花蓮縣,服務業,23.57,,
2025,花蓮縣,機關(政府+包燈+大專院校),6.35,,
2025,花蓮縣,工業,40.1,,
2025,花蓮縣,其他,1.12,,
2025,基隆市,住宅,49.8,,
2025,基隆市,服務業,31.46,,
2025,基隆市,機關(政府+包燈+大專院校),5.21,,
2025,基隆市,工業,13.19,,
2025,基隆市,其他,0.34,,
2025,新竹市,住宅,12.7,,
2025,新竹市,服務業,12.62,,
2025,新竹市,機關(政府+包燈+大專院校),2.48,,
2025,新竹市,工業,72.09,,
2025,新竹市,其他,0.1,,
2025,嘉義市,住宅,46.36,,
2025,嘉義市,服務業,40.96,,
2025,嘉義市,機關(政府+包燈+大專院校),5.31,,
2025,嘉義市,工業,6.67,,
2025,嘉義市,其他,0.7,,
2025,澎湖縣,住宅,41.55,,
2025,澎湖縣,服務業,37.11,,
2025,澎湖縣,機關(政府+包燈+大專院校),8.97,,
2025,澎湖縣,工業,11.37,,
2025,澎湖縣,其他,1.01,,
2025,金門縣,住宅,42.75,,
2025,金門縣,服務業,33.34,,
2025,金門縣,機關(政府+包燈+大專院校),12.03,,
2025,金門縣,工業,10.86,,
2025,金門縣,其他,1.02,,
2025,連江縣,住宅,38.15,,
2025,連江縣,服務業,40.89,,
2025,連江縣,機關(政府+包燈+大專院校),11.14,,
2025,連江縣,工業,9.71,,
2025,連江縣,其他,0.1,,
2024,新北市,住宅,41.32,,
2024,新北市,服務業,29.28,,
2024,新北市,機關(政府+包燈+大專院校),2.97,,
2024,新北市,工業,26.32,,
2024,新北市,其他,0.11,,
2024,台北市,住宅,33.38,,
2024,台北市,服務業,54.92,,
2024,台北市,機關(政府+包燈+大專院校),8.39,,
2024,台北市,工業,3.28,,
2024,台北市,其他,0.02,,
2024,桃園市,住宅,18.71,,
2024,桃園市,服務業,15.6,,
2024,桃園市,機關(政府+包燈+大專院校),1.73,,
2024,桃園市,工業,63.76,,
2024,桃園市,其他,0.2,,
2024,台中市,住宅,19.55,,
2024,台中市,服務業,16.84,,
2024,台中市,機關(政府+包燈+大專院校),2.02,,
2024,台中市,工業,61.11,,
2024,台中市,其他,0.48,,
2024,台南市,住宅,12.96,,
2024,台南市,服務業,9.18,,
2024,台南市,機關(政府+包燈+大專院校),1.32,,
2024,台南市,工業,75.16,,
2024,台南市,其他,1.38,,
2024,高雄市,住宅,20.13,,
2024,高雄市,服務業,17.57,,
2024,高雄市,機關(政府+包燈+大專院校),2.72,,
2024,高雄市,工業,58.72,,
2024,高雄市,其他,0.87,,
2024,宜蘭縣,住宅,28.48,,
2024,宜蘭縣,服務業,22.71,,
2024,宜蘭縣,機關(政府+包燈+大專院校),3.63,,
2024,宜蘭縣,工業,43.15,,
2024,宜蘭縣,其他,2.02,,
2024,新竹縣,住宅,12.1,,
2024,新竹縣,服務業,8.69,,
