帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11211,A1001-12-003,14019.0,018,安仁里,10010010,太保市,10010,嘉義縣
11211,A1001-12-002,100694.0,018,安仁里,10010010,太保市,10010,嘉義縣
11211,A1001-12-005,251693.0,018,安仁里,10010010,太保市,10010,嘉義縣
11211,A1001-12-004,222423.0,018,安仁里,10010010,太保市,10010,嘉義縣
11207,A1017-02-010,797.0,005,西興村,10010170,大埔鄉,10010,嘉義縣
11211,A1001-12-001,120941.0,018,安仁里,10010010,太保市,10010,嘉義縣
11207,A1017-02-004,65785.0,002,和平村,10010170,大埔鄉,10010,嘉義縣
11211,A1009-04-001,405.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11211,A1009-04-002,41239.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11207,A1017-02-002,12185.0,002,和平村,10010170,大埔鄉,10010,嘉義縣
11211,A1001-12-007,352165.0,018,安仁里,10010010,太保市,10010,嘉義縣
11207,A1017-02-007,26637.0,004,茄苳村,10010170,大埔鄉,10010,嘉義縣
11211,A1001-12-006,130482.0,018,安仁里,10010010,太保市,10010,嘉義縣
11211,A1001-12-009,143992.0,018,安仁里,10010010,太保市,10010,嘉義縣
11207,A1017-02-005,26078.0,001,大埔村,10010170,大埔鄉,10010,嘉義縣
11211,A1001-12-008,254334.0,018,安仁里,10010010,太保市,10010,嘉義縣
11211,A1009-04-009,49772.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11211,A1009-04-007,5376.0,008,龍港村,10010090,東石鄉,10010,嘉義縣
11211,A1009-04-008,22294.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11211,A1009-04-005,9022.0,008,龍港村,10010090,東石鄉,10010,嘉義縣
11211,A1009-04-006,46030.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11211,A1009-04-004,2062.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11201,A1009-11-005,982.0,015,圍潭村,10010090,東石鄉,10010,嘉義縣
11201,A1009-11-004,18353.0,015,圍潭村,10010090,東石鄉,10010,嘉義縣
11201,A1009-11-006,19975.0,015,圍潭村,10010090,東石鄉,10010,嘉義縣
11201,A1009-11-001,5943.0,015,圍潭村,10010090,東石鄉,10010,嘉義縣
11201,A1009-11-003,24145.0,015,圍潭村,10010090,東石鄉,10010,嘉義縣
11201,A1009-11-002,20657.0,015,圍潭村,10010090,東石鄉,10010,嘉義縣
11209,A1008-05-011,417.0,009,三義村,10010080,六腳鄉,10010,嘉義縣
11209,A1008-05-012,52955.0,009,三義村,10010080,六腳鄉,10010,嘉義縣
11209,A1008-05-010,29489.0,009,三義村,10010080,六腳鄉,10010,嘉義縣
11209,A1008-05-008,0.0,007,雙涵村,10010080,六腳鄉,10010,嘉義縣
11211,A1009-04-012,29221.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11209,A1008-05-009,900.0,009,三義村,10010080,六腳鄉,10010,嘉義縣
11211,A1009-04-013,51785.0,008,龍港村,10010090,東石鄉,10010,嘉義縣
11209,A1008-05-006,6674.0,011,豐美村,10010080,六腳鄉,10010,嘉義縣
11211,A1009-04-010,41282.0,008,龍港村,10010090,東石鄉,10010,嘉義縣
11209,A1008-05-007,2722.0,009,三義村,10010080,六腳鄉,10010,嘉義縣
11211,A1009-04-011,3615.0,009,副瀨村,10010090,東石鄉,10010,嘉義縣
11209,A1008-05-004,33421.0,010,港美村,10010080,六腳鄉,10010,嘉義縣
11209,A1008-05-005,14693.0,010,港美村,10010080,六腳鄉,10010,嘉義縣
11209,A1008-05-002,64181.0,010,港美村,10010080,六腳鄉,10010,嘉義縣
