帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11210,A1704-14-006,66359.0,022,獅球里,10017040,仁愛區,10017,基隆市
11210,A1704-14-005,51807.0,029,光華里,10017040,仁愛區,10017,基隆市
11210,A1704-14-008,73960.0,022,獅球里,10017040,仁愛區,10017,基隆市
11210,A1704-14-007,97045.0,023,書院里,10017040,仁愛區,10017,基隆市
11210,A1704-14-009,82836.0,023,書院里,10017040,仁愛區,10017,基隆市
11210,A1704-14-002,132639.0,029,光華里,10017040,仁愛區,10017,基隆市
11210,A1704-14-001,370181.0,029,光華里,10017040,仁愛區,10017,基隆市
11211,A1702-10-001,48928.0,019,實踐里,10017020,七堵區,10017,基隆市
11210,A1704-14-003,105849.0,023,書院里,10017040,仁愛區,10017,基隆市
11209,A1701-11-003,94556.0,012,砂灣里,10017010,中正區,10017,基隆市
11209,A1701-11-004,23805.0,011,真砂里,10017010,中正區,10017,基隆市
11209,A1701-11-005,219388.0,011,真砂里,10017010,中正區,10017,基隆市
11207,A1704-02-004,115257.0,009,仁德里,10017040,仁愛區,10017,基隆市
11209,A1701-11-006,161083.0,012,砂灣里,10017010,中正區,10017,基隆市
11206,A1706-06-001,61298.0,003,新西里,10017060,安樂區,10017,基隆市
11201,A1704-13-008,46298.0,001,林泉里,10017040,仁愛區,10017,基隆市
11206,A1706-06-002,24778.0,003,新西里,10017060,安樂區,10017,基隆市
11209,A1701-11-001,157710.0,012,砂灣里,10017010,中正區,10017,基隆市
11208,A1703-15-002,36217.0,006,碇和里,10017030,暖暖區,10017,基隆市
11209,A1701-11-002,248702.0,012,砂灣里,10017010,中正區,10017,基隆市
11201,A1704-13-005,50009.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11201,A1704-13-004,106333.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11201,A1704-13-007,86089.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11201,A1704-13-006,37343.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11201,A1704-13-001,117859.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11201,A1704-13-003,7806.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11206,A1706-06-005,68169.0,003,新西里,10017060,安樂區,10017,基隆市
11208,A1703-15-005,16120.0,006,碇和里,10017030,暖暖區,10017,基隆市
11206,A1706-06-006,73109.0,003,新西里,10017060,安樂區,10017,基隆市
11206,A1706-06-003,94364.0,003,新西里,10017060,安樂區,10017,基隆市
11206,A1706-06-004,9600.0,003,新西里,10017060,安樂區,10017,基隆市
11210,A1704-14-010,90227.0,022,獅球里,10017040,仁愛區,10017,基隆市
11206,A1706-06-009,43941.0,001,西川里,10017060,安樂區,10017,基隆市
11206,A1706-06-007,63960.0,001,西川里,10017060,安樂區,10017,基隆市
11206,A1706-06-008,48661.0,001,西川里,10017060,安樂區,10017,基隆市
11208,A1703-15-010,50450.0,006,碇和里,10017030,暖暖區,10017,基隆市
11208,A1703-15-014,531258.0,013,碇祥里,10017030,暖暖區,10017,基隆市
11204,A1707-10-001,0.0,001,仁壽里,10017070,信義區,10017,基隆市
11204,A1707-10-004,0.0,002,仁義里,10017070,信義區,10017,基隆市
11203,A1703-09-002,146411.0,008,暖暖里,10017030,暖暖區,10017,基隆市
11203,A1703-09-003,95238.0,007,暖同里,10017030,暖暖區,10017,基隆市
11204,A1701-05-007,0.0,015,海濱里,10017010,中正區,10017,基隆市
11203,A1703-09-004,103818.0,008,暖暖里,10017030,暖暖區,10017,基隆市
11204,A1701-05-006,0.0,023,中正里,10017010,中正區,10017,基隆市
11212,A1702-02-001,49072.0,007,自強里,10017020,七堵區,10017,基隆市
11203,A1703-09-005,69342.0,007,暖同里,10017030,暖暖區,10017,基隆市
11203,A1703-09-006,104329.0,008,暖暖里,10017030,暖暖區,10017,基隆市
11212,A1702-02-003,42529.0,006,八德里,10017020,七堵區,10017,基隆市
11203,A1703-09-007,37382.0,008,暖暖里,10017030,暖暖區,10017,基隆市
11212,A1702-02-002,72861.0,006,八德里,10017020,七堵區,10017,基隆市
11203,A1703-09-008,133039.0,008,暖暖里,10017030,暖暖區,10017,基隆市
11212,A1702-02-005,105559.0,006,八德里,10017020,七堵區,10017,基隆市
11212,A1702-02-004,73469.0,006,八德里,10017020,七堵區,10017,基隆市
11212,A1702-02-006,116105.0,007,自強里,10017020,七堵區,10017,基隆市
11203,A1703-09-001,228.0,007,暖同里,10017030,暖暖區,10017,基隆市
11207,A1705-19-001,0.0,004,中山里,10017050,中山區,10017,基隆市
11207,A1704-02-007,81241.0,028,新店里,10017040,仁愛區,10017,基隆市
11206,A1706-15-006,116301.0,008,嘉仁里,10017060,安樂區,10017,基隆市
11206,A1706-15-005,46288.0,008,嘉仁里,10017060,安樂區,10017,基隆市
11206,A1706-15-008,63391.0,008,嘉仁里,10017060,安樂區,10017,基隆市
11206,A1706-15-007,17940.0,008,嘉仁里,10017060,安樂區,10017,基隆市
11206,A1706-15-009,31698.0,008,嘉仁里,10017060,安樂區,10017,基隆市
11205,A1707-02-004,73250.0,018,孝賢里,10017070,信義區,10017,基隆市
11205,A1707-02-003,192444.0,018,孝賢里,10017070,信義區,10017,基隆市
11205,A1707-02-006,66599.0,018,孝賢里,10017070,信義區,10017,基隆市
11205,A1707-02-005,54465.0,018,孝賢里,10017070,信義區,10017,基隆市
11205,A1707-02-002,103171.0,018,孝賢里,10017070,信義區,10017,基隆市
11205,A1707-02-001,59793.0,018,孝賢里,10017070,信義區,10017,基隆市
11203,A1701-13-004,127170.0,022,砂子里,10017010,中正區,10017,基隆市
11203,A1701-13-003,128915.0,022,砂子里,10017010,中正區,10017,基隆市
11203,A1701-13-006,144565.0,022,砂子里,10017010,中正區,10017,基隆市
11203,A1701-13-005,273744.0,022,砂子里,10017010,中正區,10017,基隆市
11203,A1701-13-002,124974.0,022,砂子里,10017010,中正區,10017,基隆市
11203,A1701-13-001,91905.0,022,砂子里,10017010,中正區,10017,基隆市
11204,A1706-22-001,53303.0,015,三民里,10017060,安樂區,10017,基隆市
11204,A1706-22-002,31847.0,015,三民里,10017060,安樂區,10017,基隆市
11203,A1701-13-008,284583.0,022,砂子里,10017010,中正區,10017,基隆市
11204,A1706-22-003,86209.0,015,三民里,10017060,安樂區,10017,基隆市
11203,A1701-13-007,73754.0,022,砂子里,10017010,中正區,10017,基隆市
11204,A1706-22-005,35004.0,015,三民里,10017060,安樂區,10017,基隆市
11203,A1701-13-009,237574.0,022,砂子里,10017010,中正區,10017,基隆市
11202,A1704-05-001,147158.0,024,朝棟里,10017040,仁愛區,10017,基隆市
11204,A1706-22-007,32264.0,015,三民里,10017060,安樂區,10017,基隆市
11204,A1706-22-008,28838.0,015,三民里,10017060,安樂區,10017,基隆市
11202,A1704-05-005,67147.0,026,同風里,10017040,仁愛區,10017,基隆市
11202,A1704-05-004,117650.0,029,光華里,10017040,仁愛區,10017,基隆市
11202,A1704-05-003,77228.0,024,朝棟里,10017040,仁愛區,10017,基隆市
11202,A1704-05-002,74827.0,024,朝棟里,10017040,仁愛區,10017,基隆市
11202,A1704-05-008,127382.0,024,朝棟里,10017040,仁愛區,10017,基隆市
11202,A1704-05-007,188766.0,029,光華里,10017040,仁愛區,10017,基隆市
11202,A1704-05-006,74426.0,025,明德里,10017040,仁愛區,10017,基隆市
11211,A1704-06-007,85339.0,003,虹橋里,10017040,仁愛區,10017,基隆市
11211,A1704-06-008,43722.0,002,花崗里,10017040,仁愛區,10017,基隆市
11211,A1704-06-005,31195.0,005,智仁里,10017040,仁愛區,10017,基隆市
11211,A1704-06-003,34219.0,002,花崗里,10017040,仁愛區,10017,基隆市
11211,A1704-06-004,60277.0,002,花崗里,10017040,仁愛區,10017,基隆市
11211,A1704-06-001,24529.0,004,水錦里,10017040,仁愛區,10017,基隆市
11211,A1704-06-002,210763.0,004,水錦里,10017040,仁愛區,10017,基隆市
11206,A1704-10-003,0.0,001,林泉里,10017040,仁愛區,10017,基隆市
11209,A1701-11-007,109724.0,012,砂灣里,10017010,中正區,10017,基隆市
11203,A1702-10-001,42890.0,019,實踐里,10017020,七堵區,10017,基隆市
11206,A1705-18-004,89239.0,016,西榮里,10017050,中山區,10017,基隆市
11206,A1705-18-001,87627.0,017,西華里,10017050,中山區,10017,基隆市
11206,A1705-18-002,92660.0,017,西華里,10017050,中山區,10017,基隆市
11206,A1705-18-007,46875.0,003,安平里,10017050,中山區,10017,基隆市
