日期(年/月),小商店本期平均用電度數(度/戶),小商店去年同期平均用電度數(度/戶),小商店本期含稅電費(元/戶),小商店去年同期含稅電費(元/戶)
10701,1285,1324,4299,4480
10702,1076,1135,3550,3709
10703,1199,1160,3855,3831
10704,1177,1152,3839,3770
10705,1398,1373,4719,4610
10706,1457,1368,5243,4842
10707,1731,1665,6863,6480
10708,1660,1603,6958,6627
10709,1816,1778,7773,7440
10710,1538,1671,5947,6400
10711,1501,1633,5550,6057
10712,1243,1285,4390,4548
10801,1309,1285,4454,4299
10802,1136,1076,3750,3550
10803,1202,1199,3961,3855
10804,1154,1177,3817,3839
10805,1423,1398,4797,4719
10806,1460,1457,5047,5243
10807,1596,1731,6241,6863
10808,1617,1660,6663,6958
10809,1837,1816,7777,7773
10810,1562,1538,6014,5947
10811,1542,1501,5666,5550
10812,1199,1243,4400,4390
10901,1224,1309,4117,4454
10902,1196,1136,3871,3750
10903,1219,1202,4065,3961
10904,1178,1154,3900,3817
10905,1330,1423,4219,4797
10906,1393,1460,4920,5047
10907,1783,1596,6117,6241
10908,1627,1617,5973,6663
10909,1871,1837,6733,7777
10910,1579,1562,5451,6014
10911,1516,1542,5240,5666
10912,1279,1199,7128,4400
11001,1351,1224,4449,4117
11002,1165,1196,3834,3871
11003,1335,1219,4295,4065
11004,1243,1178,4103,3900
11005,1425,1330,4774,4219
11006,1415,1393,4972,4920
11007,1512,1783,5774,6117
11008,1455,1627,4399,5973
11009,1704,1871,7266,6733
11010,1647,1579,6809,5451
11011,1633,1516,6327,5240
11012,1331,1279,4731,7128
11101,1380,1351,4571,4449
11102,1248,1165,3982,3834
11103,1338,1335,4317,4295
11104,1134,1243,3660,4103
11105,1301,1425,4232,4774
11106,1354,1415,4460,4972
11107,1647,1512,6220,5774
11108,1660,1455,6704,4399
11109,1975,1704,8180,7266
11110,1681,1647,6558,6809
11111,1541,1633,5620,6327
11112,1338,1331,4692,4731
11201,1415,1380,4742,4571
11202,1259,1248,4058,3982
11203,1230,1338,3976,4317
11204,1163,1134,3745,3660
11205,1347,1301,4551,4232
11206,1350,1354,4923,4460
11207,1683,1647,6545,6220
11208,1679,1660,7095,6704
11209,1903,1975,8179,8180
11210,1659,1681,6661,6558
11211,1638,1541,6151,5620
11212,1376,1338,5010,4692
11301,1440,1415,4946,4742
11302,1202,1259,4085,4058
11303,1263,1230,4195,3976
11304,1244,1163,4254,3745
11305,1575,1347,5748,4551
11306,1460,1350,5825,4923
11307,1742,1683,7513,6545
11308,1815,1679,8305,7095
11309,1933,1903,9012,8179
11310,1645,1659,6962,6661
11311,1673,1638,6704,6151
11312,1296,1376,5091,5010
11401,1252,1440,4692,4946
11402,1136,1202,4118,4085
11403,1193,1263,4381,4195
11404,1192,1244,4427,4254
11405,1412,1575,5279,5748
11406,1460,1460,5714,5825
11407,1751,1742,7673,7513
11408,1751,1815,8067,8305
11409,1844,1933,8639,9012
11410,1782,1645,7743,6962
11411,1725,1673,7048,6704
11412,1341,1296,5300,5091
11501,1283,1252,4816,4692
11502,1098,1136,4138,4118
