帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11204,A1316-14-005,198.0,004,中寮村,10013160,枋寮鄉,10013,屏東縣
11204,A1301-46-003,67639.0,012,維新里,10013010,屏東市,10013,屏東縣
11207,A1305-13-001,126201.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11204,A1301-46-001,9310.0,012,維新里,10013010,屏東市,10013,屏東縣
11207,A1305-13-002,12927.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11202,A1303-20-007,108397.0,014,嘉蓮里,10013030,東港鎮,10013,屏東縣
11202,A1303-20-005,98978.0,013,鎮海里,10013030,東港鎮,10013,屏東縣
11204,A1301-46-008,21916.0,008,大埔里,10013010,屏東市,10013,屏東縣
11202,A1303-20-004,67944.0,011,盛漁里,10013030,東港鎮,10013,屏東縣
11202,A1303-20-003,165872.0,013,鎮海里,10013030,東港鎮,10013,屏東縣
11204,A1301-46-006,21408.0,012,維新里,10013010,屏東市,10013,屏東縣
11202,A1303-20-002,145899.0,011,盛漁里,10013030,東港鎮,10013,屏東縣
11204,A1301-46-007,56872.0,012,維新里,10013010,屏東市,10013,屏東縣
11204,A1301-46-004,62527.0,012,維新里,10013010,屏東市,10013,屏東縣
11204,A1301-46-005,54500.0,012,維新里,10013010,屏東市,10013,屏東縣
11209,A1301-52-006,32579.0,014,平和里,10013010,屏東市,10013,屏東縣
11209,A1301-52-007,5746.0,015,楠樹里,10013010,屏東市,10013,屏東縣
11209,A1301-52-009,59614.0,018,金泉里,10013010,屏東市,10013,屏東縣
11209,A1318-07-001,4400.0,007,越溪村,10013180,崁頂鄉,10013,屏東縣
11207,A1313-15-008,161548.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11207,A1313-15-009,40.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11207,A1313-15-006,6233.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11207,A1313-15-007,256629.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11207,A1313-15-001,394413.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11210,A1313-18-007,130226.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11207,A1305-13-014,2068.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11207,A1313-15-004,153751.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11210,A1313-18-006,170552.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11207,A1305-13-015,3554.0,024,後村村,10013050,萬丹鄉,10013,屏東縣
11207,A1313-15-005,106928.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11207,A1313-15-002,70942.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11210,A1313-18-004,17565.0,014,上樹村,10013130,內埔鄉,10013,屏東縣
11207,A1313-15-003,133162.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11210,A1313-18-003,0.0,014,上樹村,10013130,內埔鄉,10013,屏東縣
11203,A1303-03-009,46067.0,018,大潭里,10013030,東港鎮,10013,屏東縣
11203,A1303-03-008,56622.0,018,大潭里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-002,88833.0,002,牡丹村,10013330,牡丹鄉,10013,屏東縣
11208,A1333-02-001,158781.0,004,旭海村,10013330,牡丹鄉,10013,屏東縣
11203,A1303-03-005,442182.0,017,下■里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-004,74061.0,005,高士村,10013330,牡丹鄉,10013,屏東縣
11203,A1303-03-004,26740.0,021,興和里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-003,50318.0,005,高士村,10013330,牡丹鄉,10013,屏東縣
11203,A1303-03-007,58146.0,018,大潭里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-006,767.0,001,石門村,10013330,牡丹鄉,10013,屏東縣
11212,A1303-13-001,94925.0,001,新勝里,10013030,東港鎮,10013,屏東縣
11203,A1303-03-006,109108.0,018,大潭里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-005,95260.0,001,石門村,10013330,牡丹鄉,10013,屏東縣
11212,A1303-13-002,2239.0,019,興東里,10013030,東港鎮,10013,屏東縣
11203,A1303-03-001,405.0,021,興和里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-008,75488.0,006,四林村,10013330,牡丹鄉,10013,屏東縣
11212,A1303-13-003,23445.0,005,興台里,10013030,東港鎮,10013,屏東縣
11208,A1333-02-007,20800.0,006,四林村,10013330,牡丹鄉,10013,屏東縣
11212,A1303-13-005,30834.0,006,中興里,10013030,東港鎮,10013,屏東縣
11203,A1303-03-002,5068.0,021,興和里,10013030,東港鎮,10013,屏東縣
11212,A1303-13-007,96700.0,008,八德里,10013030,東港鎮,10013,屏東縣
11204,A1310-09-003,6948.0,011,新二村,10013100,鹽埔鄉,10013,屏東縣
11204,A1310-09-004,155117.0,011,新二村,10013100,鹽埔鄉,10013,屏東縣
11204,A1310-09-005,87099.0,001,新圍村,10013100,鹽埔鄉,10013,屏東縣
11204,A1310-09-006,86364.0,011,新二村,10013100,鹽埔鄉,10013,屏東縣
11204,A1310-09-007,32742.0,001,新圍村,10013100,鹽埔鄉,10013,屏東縣
11204,A1310-09-008,98709.0,001,新圍村,10013100,鹽埔鄉,10013,屏東縣
11207,A1305-13-008,114972.0,010,田厝村,10013050,萬丹鄉,10013,屏東縣
11207,A1305-13-009,274020.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11207,A1313-15-010,434119.0,015,老埤村,10013130,內埔鄉,10013,屏東縣
11207,A1305-13-003,119490.0,010,田厝村,10013050,萬丹鄉,10013,屏東縣
11207,A1305-13-004,140762.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11207,A1305-13-005,76499.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11207,A1305-13-006,120571.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11207,A1305-13-010,107354.0,011,崙頂村,10013050,萬丹鄉,10013,屏東縣
11212,A1301-55-008,46150.0,020,橋南里,10013010,屏東市,10013,屏東縣
11212,A1301-55-007,102663.0,020,橋南里,10013010,屏東市,10013,屏東縣
11212,A1301-55-009,59803.0,020,橋南里,10013010,屏東市,10013,屏東縣
11212,A1301-55-004,108137.0,022,長春里,10013010,屏東市,10013,屏東縣
11212,A1301-55-003,521.0,021,橋北里,10013010,屏東市,10013,屏東縣
11212,A1301-55-006,101688.0,022,長春里,10013010,屏東市,10013,屏東縣
11212,A1301-55-005,117086.0,020,橋南里,10013010,屏東市,10013,屏東縣
11212,A1301-55-002,156764.0,021,橋北里,10013010,屏東市,10013,屏東縣
11212,A1301-55-001,80831.0,021,橋北里,10013010,屏東市,10013,屏東縣
11204,A1310-09-001,54439.0,011,新二村,10013100,鹽埔鄉,10013,屏東縣
11204,A1310-09-002,111773.0,001,新圍村,10013100,鹽埔鄉,10013,屏東縣
11207,A1333-01-004,456.0,001,石門村,10013330,牡丹鄉,10013,屏東縣
11207,A1333-01-006,245.0,001,石門村,10013330,牡丹鄉,10013,屏東縣
11207,A1333-01-001,0.0,003,東源村,10013330,牡丹鄉,10013,屏東縣
11210,A1305-16-001,77228.0,005,萬生村,10013050,萬丹鄉,10013,屏東縣
11210,A1305-16-003,29098.0,006,寶厝村,10013050,萬丹鄉,10013,屏東縣
11210,A1305-16-002,129386.0,006,寶厝村,10013050,萬丹鄉,10013,屏東縣
11210,A1305-16-005,39631.0,021,水泉村,10013050,萬丹鄉,10013,屏東縣
11210,A1305-16-004,172572.0,006,寶厝村,10013050,萬丹鄉,10013,屏東縣
11203,A1317-10-004,248943.0,009,興龍村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-003,122011.0,013,五房村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-006,233889.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-005,116419.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-008,73842.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-007,93186.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-009,54513.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11202,A1312-01-012,110127.0,009,萬金村,10013120,萬巒鄉,10013,屏東縣
11202,A1312-01-010,84224.0,009,萬金村,10013120,萬巒鄉,10013,屏東縣
11202,A1312-01-011,59386.0,009,萬金村,10013120,萬巒鄉,10013,屏東縣
11211,A1313-19-002,11803.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11204,A1302-25-001,558.0,018,九塊里,10013020,潮州鎮,10013,屏東縣
11211,A1313-19-001,67315.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11209,A1302-13-005,0.0,005,光華里,10013020,潮州鎮,10013,屏東縣
11212,A1319-07-008,13044.0,002,光林村,10013190,林邊鄉,10013,屏東縣
11212,A1319-07-006,63222.0,002,光林村,10013190,林邊鄉,10013,屏東縣
11211,A1313-19-006,131284.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11211,A1313-19-005,9016.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11211,A1313-19-004,86959.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11211,A1313-19-003,99418.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11211,A1313-19-008,103635.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11211,A1313-19-007,76418.0,007,東寧村,10013130,內埔鄉,10013,屏東縣
11209,A1303-10-005,0.0,007,朝安里,10013030,東港鎮,10013,屏東縣
11209,A1303-10-004,40.0,007,朝安里,10013030,東港鎮,10013,屏東縣
11201,A1314-05-003,34083.0,014,大湖村,10013140,竹田鄉,10013,屏東縣
11201,A1314-05-007,63917.0,014,大湖村,10013140,竹田鄉,10013,屏東縣
11201,A1314-05-006,66013.0,014,大湖村,10013140,竹田鄉,10013,屏東縣
11208,A1311-11-004,2456.0,015,廣興村,10013110,高樹鄉,10013,屏東縣
11201,A1314-05-004,2063.0,003,糶糴村,10013140,竹田鄉,10013,屏東縣
11202,A1305-07-003,10107.0,015,加興村,10013050,萬丹鄉,10013,屏東縣
11203,A1301-63-008,131960.0,055,清溪里,10013010,屏東市,10013,屏東縣
11202,A1305-07-004,67013.0,015,加興村,10013050,萬丹鄉,10013,屏東縣
11202,A1305-07-001,152328.0,017,磚寮村,10013050,萬丹鄉,10013,屏東縣
11202,A1305-07-002,59039.0,016,社口村,10013050,萬丹鄉,10013,屏東縣
11209,A1318-07-002,6000.0,008,港東村,10013180,崁頂鄉,10013,屏東縣
11202,A1305-07-005,19039.0,015,加興村,10013050,萬丹鄉,10013,屏東縣
11203,A1301-63-002,343.0,049,安鎮里,10013010,屏東市,10013,屏東縣
11203,A1301-63-004,11148.0,049,安鎮里,10013010,屏東市,10013,屏東縣
11208,A1301-51-006,122039.0,024,豐源里,10013010,屏東市,10013,屏東縣
11208,A1301-51-007,27156.0,023,豐榮里,10013010,屏東市,10013,屏東縣
11203,A1301-63-006,62443.0,055,清溪里,10013010,屏東市,10013,屏東縣
11208,A1301-51-008,14068.0,024,豐源里,10013010,屏東市,10013,屏東縣
11203,A1301-63-007,80232.0,055,清溪里,10013010,屏東市,10013,屏東縣
11208,A1301-51-009,10472.0,024,豐源里,10013010,屏東市,10013,屏東縣
11211,A1301-72-010,86711.0,027,湖西里,10013010,屏東市,10013,屏東縣
11211,A1317-01-008,0.0,001,瓦■村,10013170,新園鄉,10013,屏東縣
11201,A1314-05-010,6566.0,013,泗洲村,10013140,竹田鄉,10013,屏東縣
11208,A1301-51-001,139406.0,024,豐源里,10013010,屏東市,10013,屏東縣
11211,A1317-01-004,111466.0,003,田洋村,10013170,新園鄉,10013,屏東縣
11201,A1314-05-017,12511.0,013,泗洲村,10013140,竹田鄉,10013,屏東縣
11211,A1317-01-005,4001.0,001,瓦■村,10013170,新園鄉,10013,屏東縣
11211,A1317-01-002,1115.0,001,瓦■村,10013170,新園鄉,10013,屏東縣
11211,A1301-72-009,18145.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11211,A1301-72-008,4388.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11211,A1301-72-007,10397.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11211,A1301-72-005,169526.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11211,A1301-72-004,117022.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11204,A1301-28-001,25724.0,073,崇蘭里,10013010,屏東市,10013,屏東縣
11201,A1305-06-008,1627.0,009,廣安村,10013050,萬丹鄉,10013,屏東縣
11204,A1301-28-003,69920.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11201,A1305-06-006,371.0,009,廣安村,10013050,萬丹鄉,10013,屏東縣
11204,A1301-28-005,7643.0,074,空翔里,10013010,屏東市,10013,屏東縣
11204,A1301-28-004,60175.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11204,A1301-28-007,6279.0,074,空翔里,10013010,屏東市,10013,屏東縣
11212,A1317-20-007,0.0,015,共和村,10013170,新園鄉,10013,屏東縣
11204,A1301-28-006,31968.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11202,A1320-03-014,1201.0,010,南安村,10013200,南州鄉,10013,屏東縣
11211,A1301-90-007,32464.0,043,龍華里,10013010,屏東市,10013,屏東縣
11202,A1320-03-013,4373.0,010,南安村,10013200,南州鄉,10013,屏東縣
11211,A1301-90-008,92585.0,044,玉成里,10013010,屏東市,10013,屏東縣
11212,A1305-18-009,6371.0,026,灣內村,10013050,萬丹鄉,10013,屏東縣
11211,A1301-90-009,95006.0,044,玉成里,10013010,屏東市,10013,屏東縣
11202,A1320-03-015,361.0,010,南安村,10013200,南州鄉,10013,屏東縣
11202,A1320-03-010,44580.0,009,同安村,10013200,南州鄉,10013,屏東縣
11211,A1301-90-003,133623.0,044,玉成里,10013010,屏東市,10013,屏東縣
11202,A1320-03-012,89211.0,010,南安村,10013200,南州鄉,10013,屏東縣
11211,A1301-90-005,129179.0,044,玉成里,10013010,屏東市,10013,屏東縣
11202,A1320-03-011,81118.0,010,南安村,10013200,南州鄉,10013,屏東縣
11211,A1301-90-006,41288.0,044,玉成里,10013010,屏東市,10013,屏東縣
11208,A1313-16-005,2918.0,004,義亭村,10013130,內埔鄉,10013,屏東縣
11202,A1303-02-003,93387.0,019,興東里,10013030,東港鎮,10013,屏東縣
11202,A1303-02-005,112527.0,019,興東里,10013030,東港鎮,10013,屏東縣
11202,A1303-02-004,5714.0,019,興東里,10013030,東港鎮,10013,屏東縣
11204,A1301-28-008,131925.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11202,A1303-02-007,182602.0,019,興東里,10013030,東港鎮,10013,屏東縣
11202,A1303-02-006,148969.0,019,興東里,10013030,東港鎮,10013,屏東縣
11202,A1303-02-008,296550.0,019,興東里,10013030,東港鎮,10013,屏東縣
11209,A1301-70-010,8066.0,038,義勇里,10013010,屏東市,10013,屏東縣
11205,A1301-47-009,10471.0,024,豐源里,10013010,屏東市,10013,屏東縣
11204,A1302-07-008,73713.0,007,三星里,10013020,潮州鎮,10013,屏東縣
11209,A1301-70-001,144740.0,039,光華里,10013010,屏東市,10013,屏東縣
11209,A1325-01-001,849.0,002,加祿村,10013250,枋山鄉,10013,屏東縣
11208,A1305-14-002,185692.0,001,萬安村,10013050,萬丹鄉,10013,屏東縣
11209,A1301-70-007,79231.0,038,義勇里,10013010,屏東市,10013,屏東縣
11208,A1305-14-001,77923.0,004,萬後村,10013050,萬丹鄉,10013,屏東縣
11209,A1301-70-006,227646.0,036,一心里,10013010,屏東市,10013,屏東縣
11209,A1301-70-009,9931.0,020,橋南里,10013010,屏東市,10013,屏東縣
11209,A1301-70-008,299164.0,038,義勇里,10013010,屏東市,10013,屏東縣
11209,A1301-70-005,304798.0,038,義勇里,10013010,屏東市,10013,屏東縣
11202,A1311-04-010,17431.0,001,高樹村,10013110,高樹鄉,10013,屏東縣
11204,A1302-07-002,254655.0,008,三共里,10013020,潮州鎮,10013,屏東縣
11206,A1301-01-010,20718.0,077,海豐里,10013010,屏東市,10013,屏東縣
11202,A1311-04-011,83661.0,001,高樹村,10013110,高樹鄉,10013,屏東縣
11204,A1317-11-007,64875.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11204,A1302-07-003,17326.0,008,三共里,10013020,潮州鎮,10013,屏東縣
11202,A1311-04-012,15166.0,006,建興村,10013110,高樹鄉,10013,屏東縣
11204,A1302-07-001,77348.0,008,三共里,10013020,潮州鎮,10013,屏東縣
11204,A1302-07-006,49030.0,008,三共里,10013020,潮州鎮,10013,屏東縣
11204,A1302-07-007,54982.0,008,三共里,10013020,潮州鎮,10013,屏東縣
11204,A1317-11-006,2328.0,011,南龍村,10013170,新園鄉,10013,屏東縣
11204,A1302-07-004,101029.0,008,三共里,10013020,潮州鎮,10013,屏東縣
11204,A1302-07-005,78280.0,007,三星里,10013020,潮州鎮,10013,屏東縣
11202,A1311-04-009,46969.0,001,高樹村,10013110,高樹鄉,10013,屏東縣
11204,A1317-11-002,3674.0,012,港西村,10013170,新園鄉,10013,屏東縣
11202,A1320-03-003,27935.0,008,壽元村,10013200,南州鄉,10013,屏東縣
11202,A1320-03-002,3826.0,008,壽元村,10013200,南州鄉,10013,屏東縣
11202,A1320-03-005,82837.0,008,壽元村,10013200,南州鄉,10013,屏東縣
11202,A1320-03-004,33203.0,008,壽元村,10013200,南州鄉,10013,屏東縣
11202,A1320-03-001,57211.0,008,壽元村,10013200,南州鄉,10013,屏東縣
11203,A1317-10-002,66326.0,013,五房村,10013170,新園鄉,10013,屏東縣
11203,A1317-10-001,3693.0,012,港西村,10013170,新園鄉,10013,屏東縣
11206,A1301-01-008,17998.0,077,海豐里,10013010,屏東市,10013,屏東縣
11208,A1305-14-009,159560.0,006,寶厝村,10013050,萬丹鄉,10013,屏東縣
11210,A1303-11-004,100376.0,005,興台里,10013030,東港鎮,10013,屏東縣
11208,A1305-14-008,78765.0,002,萬惠村,10013050,萬丹鄉,10013,屏東縣
11210,A1303-11-005,68625.0,006,中興里,10013030,東港鎮,10013,屏東縣
11211,A1301-90-001,130591.0,041,新興里,10013010,屏東市,10013,屏東縣
11208,A1305-14-007,110863.0,005,萬生村,10013050,萬丹鄉,10013,屏東縣
11210,A1303-11-006,66595.0,008,八德里,10013030,東港鎮,10013,屏東縣
11211,A1301-90-002,52358.0,042,公館里,10013010,屏東市,10013,屏東縣
11202,A1320-03-007,78498.0,009,同安村,10013200,南州鄉,10013,屏東縣
11208,A1305-14-006,165922.0,002,萬惠村,10013050,萬丹鄉,10013,屏東縣
11210,A1303-11-007,69251.0,008,八德里,10013030,東港鎮,10013,屏東縣
11202,A1320-03-006,101172.0,008,壽元村,10013200,南州鄉,10013,屏東縣
11208,A1305-14-005,109543.0,005,萬生村,10013050,萬丹鄉,10013,屏東縣
11210,A1303-11-008,49233.0,008,八德里,10013030,東港鎮,10013,屏東縣
11202,A1320-03-009,105953.0,009,同安村,10013200,南州鄉,10013,屏東縣
11208,A1305-14-004,96749.0,005,萬生村,10013050,萬丹鄉,10013,屏東縣
11208,A1305-14-003,131628.0,004,萬後村,10013050,萬丹鄉,10013,屏東縣
11206,A1301-01-002,54800.0,080,信和里,10013010,屏東市,10013,屏東縣
11212,A1317-20-001,293.0,014,鹽埔村,10013170,新園鄉,10013,屏東縣
11206,A1301-01-004,5550.0,078,仁義里,10013010,屏東市,10013,屏東縣
11210,A1303-11-001,210888.0,004,東和里,10013030,東港鎮,10013,屏東縣
11202,A1311-04-006,80.0,006,建興村,10013110,高樹鄉,10013,屏東縣
11206,A1301-01-006,53515.0,079,和興里,10013010,屏東市,10013,屏東縣
11210,A1303-11-002,59182.0,003,頂中里,10013030,東港鎮,10013,屏東縣
11211,A1325-03-001,11141.0,002,加祿村,10013250,枋山鄉,10013,屏東縣
11202,A1301-62-004,19822.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11202,A1301-62-005,61977.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11202,A1301-62-006,27159.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11202,A1301-62-003,135532.0,030,瑞光里,10013010,屏東市,10013,屏東縣
11207,A1301-50-006,147726.0,007,民權里,10013010,屏東市,10013,屏東縣
11207,A1301-50-007,198925.0,011,崇禮里,10013010,屏東市,10013,屏東縣
11207,A1301-50-008,113354.0,003,武廟里,10013010,屏東市,10013,屏東縣
11207,A1301-50-009,77750.0,004,大同里,10013010,屏東市,10013,屏東縣
11212,A1316-05-001,4611.0,015,大庄村,10013160,枋寮鄉,10013,屏東縣
11208,A1319-03-004,53846.0,009,竹林村,10013190,林邊鄉,10013,屏東縣
11212,A1304-10-006,97373.0,013,大光里,10013040,恆春鎮,10013,屏東縣
11212,A1304-10-005,95559.0,013,大光里,10013040,恆春鎮,10013,屏東縣
11208,A1319-03-002,56384.0,009,竹林村,10013190,林邊鄉,10013,屏東縣
11212,A1304-10-004,109379.0,014,水泉里,10013040,恆春鎮,10013,屏東縣
11208,A1319-03-003,74477.0,009,竹林村,10013190,林邊鄉,10013,屏東縣
11212,A1304-10-002,133889.0,011,龍水里,10013040,恆春鎮,10013,屏東縣
11208,A1319-03-001,18453.0,009,竹林村,10013190,林邊鄉,10013,屏東縣
11212,A1304-10-001,81667.0,011,龍水里,10013040,恆春鎮,10013,屏東縣
11212,A1304-10-008,172264.0,014,水泉里,10013040,恆春鎮,10013,屏東縣
11212,A1304-10-007,174500.0,013,大光里,10013040,恆春鎮,10013,屏東縣
11205,A1301-47-010,7164.0,024,豐源里,10013010,屏東市,10013,屏東縣
11208,A1319-03-007,981.0,005,永樂村,10013190,林邊鄉,10013,屏東縣
11207,A1301-50-001,67394.0,002,文明里,10013010,屏東市,10013,屏東縣
11207,A1301-50-002,134345.0,001,光榮里,10013010,屏東市,10013,屏東縣
11207,A1301-50-003,156017.0,006,端正里,10013010,屏東市,10013,屏東縣
11207,A1301-50-004,103591.0,007,民權里,10013010,屏東市,10013,屏東縣
11207,A1301-50-005,107256.0,002,文明里,10013010,屏東市,10013,屏東縣
11203,A1301-27-005,54501.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11203,A1301-27-004,52190.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11203,A1306-05-009,15570.0,002,新潭村,10013060,長治鄉,10013,屏東縣
11203,A1301-27-006,40691.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11203,A1301-27-001,62039.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11203,A1306-05-005,0.0,009,崙上村,10013060,長治鄉,10013,屏東縣
11203,A1301-27-003,3297.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11203,A1301-27-002,43407.0,075,潭墘里,10013010,屏東市,10013,屏東縣
11209,A1301-16-007,63718.0,070,仁愛里,10013010,屏東市,10013,屏東縣
11211,A1302-15-010,52590.0,019,泗林里,10013020,潮州鎮,10013,屏東縣
11209,A1301-16-003,0.0,070,仁愛里,10013010,屏東市,10013,屏東縣
11209,A1301-16-005,70463.0,064,中正里,10013010,屏東市,10013,屏東縣
11207,A1332-04-006,97639.0,001,楓林村,10013320,獅子鄉,10013,屏東縣
11207,A1332-04-005,121514.0,001,楓林村,10013320,獅子鄉,10013,屏東縣
11207,A1332-04-004,85948.0,002,丹路村,10013320,獅子鄉,10013,屏東縣
11207,A1332-04-003,57688.0,002,丹路村,10013320,獅子鄉,10013,屏東縣
11207,A1332-04-002,35940.0,002,丹路村,10013320,獅子鄉,10013,屏東縣
11207,A1332-04-001,34736.0,004,內文村,10013320,獅子鄉,10013,屏東縣
11205,A1301-65-001,11635.0,040,永安里,10013010,屏東市,10013,屏東縣
