帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11205,A0402-22-011,40019.0,024,忠孝里,10004020,竹東鎮,10004,新竹縣
11203,A0407-09-007,85977.0,003,秀湖村,10004070,芎林鄉,10004,新竹縣
11203,A0407-09-006,29142.0,001,五龍村,10004070,芎林鄉,10004,新竹縣
11203,A0407-09-005,108624.0,001,五龍村,10004070,芎林鄉,10004,新竹縣
11203,A0407-09-004,98306.0,004,永興村,10004070,芎林鄉,10004,新竹縣
11209,A0405-02-001,11564.0,007,和興村,10004050,湖口鄉,10004,新竹縣
11209,A0405-02-003,135187.0,007,和興村,10004050,湖口鄉,10004,新竹縣
11203,A0407-09-009,135444.0,003,秀湖村,10004070,芎林鄉,10004,新竹縣
11203,A0407-09-008,126010.0,003,秀湖村,10004070,芎林鄉,10004,新竹縣
11209,A0405-02-005,2665.0,007,和興村,10004050,湖口鄉,10004,新竹縣
11203,A0405-13-002,103898.0,002,仁勢村,10004050,湖口鄉,10004,新竹縣
11205,A0402-22-002,12054.0,024,忠孝里,10004020,竹東鎮,10004,新竹縣
11203,A0405-13-001,87444.0,002,仁勢村,10004050,湖口鄉,10004,新竹縣
11203,A0405-13-004,61959.0,018,中正村,10004050,湖口鄉,10004,新竹縣
11205,A0402-22-004,14019.0,010,竹東里,10004020,竹東鎮,10004,新竹縣
11203,A0405-13-003,101503.0,001,孝勢村,10004050,湖口鄉,10004,新竹縣
11205,A0402-22-005,0.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11203,A0405-13-006,61427.0,001,孝勢村,10004050,湖口鄉,10004,新竹縣
11203,A0407-09-003,50606.0,002,華龍村,10004070,芎林鄉,10004,新竹縣
11205,A0402-22-006,23862.0,010,竹東里,10004020,竹東鎮,10004,新竹縣
11203,A0405-13-005,118077.0,018,中正村,10004050,湖口鄉,10004,新竹縣
11203,A0407-09-002,76484.0,002,華龍村,10004070,芎林鄉,10004,新竹縣
11203,A0405-13-008,101370.0,018,中正村,10004050,湖口鄉,10004,新竹縣
11203,A0407-09-001,84539.0,004,永興村,10004070,芎林鄉,10004,新竹縣
11203,A0405-13-007,124333.0,018,中正村,10004050,湖口鄉,10004,新竹縣
11205,A0403-01-003,3322.0,016,照門里,10004030,新埔鎮,10004,新竹縣
11205,A0403-01-002,13782.0,017,清水里,10004030,新埔鎮,10004,新竹縣
11208,A0407-06-004,103082.0,007,中坑村,10004070,芎林鄉,10004,新竹縣
11208,A0407-06-005,11512.0,006,新鳳村,10004070,芎林鄉,10004,新竹縣
11209,A0405-02-008,40.0,007,和興村,10004050,湖口鄉,10004,新竹縣
11209,A0405-02-007,121189.0,007,和興村,10004050,湖口鄉,10004,新竹縣
11209,A0405-02-009,109934.0,007,和興村,10004050,湖口鄉,10004,新竹縣
11204,A0402-30-003,55504.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11204,A0402-30-002,54026.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11204,A0402-30-001,107972.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11207,A0408-02-009,115032.0,009,新興村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-008,80309.0,009,新興村,10004080,橫山鄉,10004,新竹縣
11208,A0407-06-013,58326.0,009,文林村,10004070,芎林鄉,10004,新竹縣
11201,A0402-08-002,36878.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11201,A0402-08-003,49109.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11201,A0402-08-004,53195.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11201,A0402-08-005,97707.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11207,A0408-02-001,3452.0,010,大肚村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-003,46146.0,010,大肚村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-002,169023.0,010,大肚村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-005,85829.0,010,大肚村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-004,26639.0,010,大肚村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-007,70983.0,009,新興村,10004080,橫山鄉,10004,新竹縣
11207,A0408-02-006,161878.0,010,大肚村,10004080,橫山鄉,10004,新竹縣
11206,A0401-35-004,128018.0,001,斗崙里,10004010,竹北市,10004,新竹縣
11204,A0402-30-006,51397.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11206,A0401-35-005,178103.0,001,斗崙里,10004010,竹北市,10004,新竹縣
11204,A0402-30-005,49988.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11206,A0401-35-006,71467.0,001,斗崙里,10004010,竹北市,10004,新竹縣
11204,A0402-30-004,51018.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11206,A0401-35-007,72277.0,001,斗崙里,10004010,竹北市,10004,新竹縣
11205,A0404-09-002,96756.0,008,東安里,10004040,關西鎮,10004,新竹縣
11210,A0402-18-010,23801.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11205,A0404-09-001,73040.0,008,東安里,10004040,關西鎮,10004,新竹縣
11206,A0401-35-001,25083.0,024,北崙里,10004010,竹北市,10004,新竹縣
11204,A0402-30-009,41674.0,006,上■里,10004020,竹東鎮,10004,新竹縣
11206,A0401-35-002,79227.0,001,斗崙里,10004010,竹北市,10004,新竹縣
11204,A0402-30-008,50489.0,007,大鄉里,10004020,竹東鎮,10004,新竹縣
11206,A0401-35-003,118050.0,024,北崙里,10004010,竹北市,10004,新竹縣
11205,A0404-09-006,57773.0,008,東安里,10004040,關西鎮,10004,新竹縣
11205,A0404-09-005,82034.0,008,東安里,10004040,關西鎮,10004,新竹縣
11205,A0404-09-004,81729.0,008,東安里,10004040,關西鎮,10004,新竹縣
11206,A0408-01-006,25826.0,009,新興村,10004080,橫山鄉,10004,新竹縣
11208,A0407-06-001,82567.0,007,中坑村,10004070,芎林鄉,10004,新竹縣
11201,A0402-08-006,59731.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11206,A0401-35-008,760618.0,001,斗崙里,10004010,竹北市,10004,新竹縣
11201,A0402-08-007,110188.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11201,A0402-08-008,112107.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11205,A0404-09-008,106304.0,008,東安里,10004040,關西鎮,10004,新竹縣
11206,A0408-01-003,0.0,008,沙坑村,10004080,橫山鄉,10004,新竹縣
11205,A0404-09-007,104478.0,008,東安里,10004040,關西鎮,10004,新竹縣
11203,A0405-22-003,263781.0,012,湖南村,10004050,湖口鄉,10004,新竹縣
11203,A0405-22-004,103957.0,011,湖鏡村,10004050,湖口鄉,10004,新竹縣
11203,A0405-22-005,60870.0,011,湖鏡村,10004050,湖口鄉,10004,新竹縣
11205,A0411-03-010,12239.0,005,七星村,10004110,峨眉鄉,10004,新竹縣
11203,A0405-22-008,3981.0,011,湖鏡村,10004050,湖口鄉,10004,新竹縣
11210,A0402-18-009,53162.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11210,A0402-18-007,24564.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11210,A0402-18-008,89493.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11210,A0402-18-005,72840.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11210,A0402-18-006,25845.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11209,A0407-07-006,169021.0,005,石潭村,10004070,芎林鄉,10004,新竹縣
11210,A0402-18-003,37198.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11209,A0407-07-007,84330.0,005,石潭村,10004070,芎林鄉,10004,新竹縣
11210,A0402-18-004,169904.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11209,A0407-07-004,67809.0,005,石潭村,10004070,芎林鄉,10004,新竹縣
11210,A0402-18-001,63318.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11209,A0407-07-005,104735.0,005,石潭村,10004070,芎林鄉,10004,新竹縣
11210,A0402-18-002,101422.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11204,A0401-51-001,86638.0,006,東海里,10004010,竹北市,10004,新竹縣
11201,A0402-17-010,120863.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11204,A0401-51-003,37284.0,005,隘口里,10004010,竹北市,10004,新竹縣
11209,A0407-07-008,71569.0,005,石潭村,10004070,芎林鄉,10004,新竹縣
11204,A0401-51-002,135663.0,006,東海里,10004010,竹北市,10004,新竹縣
11209,A0407-07-009,120401.0,005,石潭村,10004070,芎林鄉,10004,新竹縣
11203,A0405-22-012,42960.0,012,湖南村,10004050,湖口鄉,10004,新竹縣
11201,A0402-17-008,80297.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11201,A0402-17-009,65845.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11205,A0411-03-001,32616.0,004,富興村,10004110,峨眉鄉,10004,新竹縣
11205,A0411-03-002,40657.0,006,湖光村,10004110,峨眉鄉,10004,新竹縣
11205,A0411-03-003,15279.0,004,富興村,10004110,峨眉鄉,10004,新竹縣
11206,A0401-26-003,78081.0,021,十興里,10004010,竹北市,10004,新竹縣
11212,A0405-23-004,105477.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11206,A0401-26-002,87575.0,021,十興里,10004010,竹北市,10004,新竹縣
11212,A0405-23-005,221249.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11212,A0405-23-006,207366.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11205,A0411-03-008,160341.0,006,湖光村,10004110,峨眉鄉,10004,新竹縣
11206,A0401-26-004,77686.0,021,十興里,10004010,竹北市,10004,新竹縣
11212,A0405-23-007,110810.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11205,A0411-03-009,48144.0,006,湖光村,10004110,峨眉鄉,10004,新竹縣
11212,A0405-23-001,439784.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11206,A0401-26-001,93768.0,021,十興里,10004010,竹北市,10004,新竹縣
11207,A1802-08-006,3169.0,022,舊社里,10018020,北區,10018,新竹市
11212,A0405-23-002,146003.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11212,A0405-23-003,348632.0,016,中興村,10004050,湖口鄉,10004,新竹縣
11201,A0402-17-002,198694.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11201,A0402-17-003,218994.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11201,A0402-17-006,72408.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11206,A0402-05-008,128.0,016,頭重里,10004020,竹東鎮,10004,新竹縣
11201,A0402-17-007,92132.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11201,A0402-17-004,55349.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11201,A0402-17-005,106101.0,023,榮華里,10004020,竹東鎮,10004,新竹縣
11206,A0402-23-006,84716.0,008,東華里,10004020,竹東鎮,10004,新竹縣
11209,A0405-20-012,186689.0,010,湖口村,10004050,湖口鄉,10004,新竹縣
11206,A0402-23-007,46445.0,009,商華里,10004020,竹東鎮,10004,新竹縣
11209,A0405-20-011,23845.0,010,湖口村,10004050,湖口鄉,10004,新竹縣
11206,A0402-23-002,56320.0,011,榮樂里,10004020,竹東鎮,10004,新竹縣
11206,A0402-23-003,133341.0,011,榮樂里,10004020,竹東鎮,10004,新竹縣
11206,A0402-23-004,80135.0,010,竹東里,10004020,竹東鎮,10004,新竹縣
11206,A0402-23-005,109036.0,009,商華里,10004020,竹東鎮,10004,新竹縣
11205,A0403-10-004,175269.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11205,A0403-10-005,87159.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11205,A0403-10-006,11316.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11209,A0405-20-018,160309.0,010,湖口村,10004050,湖口鄉,10004,新竹縣
11205,A0403-10-007,39591.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11205,A0403-10-008,102605.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11209,A0405-20-016,195419.0,009,長安村,10004050,湖口鄉,10004,新竹縣
11205,A0403-10-009,155789.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11209,A0405-20-017,147609.0,011,湖鏡村,10004050,湖口鄉,10004,新竹縣
11209,A0405-20-014,191349.0,011,湖鏡村,10004050,湖口鄉,10004,新竹縣
11209,A0405-20-015,83358.0,010,湖口村,10004050,湖口鄉,10004,新竹縣
11208,A0413-03-005,68522.0,004,桃山村,10004130,五峰鄉,10004,新竹縣
11210,A0401-39-002,378135.0,021,十興里,10004010,竹北市,10004,新竹縣
11208,A0413-03-004,66326.0,001,大隘村,10004130,五峰鄉,10004,新竹縣
11210,A0401-39-001,166698.0,021,十興里,10004010,竹北市,10004,新竹縣
11208,A0413-03-003,25865.0,001,大隘村,10004130,五峰鄉,10004,新竹縣
11210,A0401-39-003,599680.0,021,十興里,10004010,竹北市,10004,新竹縣
11208,A0413-03-007,119817.0,004,桃山村,10004130,五峰鄉,10004,新竹縣
11208,A0413-03-006,28376.0,004,桃山村,10004130,五峰鄉,10004,新竹縣
11210,A0408-05-004,698.0,009,新興村,10004080,橫山鄉,10004,新竹縣
11210,A0408-05-001,2469.0,001,橫山村,10004080,橫山鄉,10004,新竹縣
11204,A0401-51-005,41420.0,005,隘口里,10004010,竹北市,10004,新竹縣
11208,A6809-22-012,4525.0,008,三水里,68000090,龍潭區,68000,桃園市
11210,A0408-05-008,388.0,002,田寮村,10004080,橫山鄉,10004,新竹縣
11208,A6809-22-010,40.0,008,三水里,68000090,龍潭區,68000,桃園市
11210,A0408-05-006,8707.0,005,豐田村,10004080,橫山鄉,10004,新竹縣
11205,A0402-13-001,74936.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11205,A0402-13-003,34400.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11205,A0402-13-002,48437.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11205,A0402-13-005,77995.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11207,A0401-18-002,106520.0,022,新國里,10004010,竹北市,10004,新竹縣
11205,A0403-10-001,158603.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11207,A0401-18-003,119458.0,009,竹義里,10004010,竹北市,10004,新竹縣
11205,A0403-10-002,81655.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11205,A0402-13-007,60469.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11205,A0403-10-003,42194.0,003,文山里,10004030,新埔鎮,10004,新竹縣
11205,A0402-13-006,90709.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11207,A0401-18-001,136856.0,022,新國里,10004010,竹北市,10004,新竹縣
11205,A0402-13-009,174625.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11207,A0401-18-006,221032.0,009,竹義里,10004010,竹北市,10004,新竹縣
11205,A0402-13-008,149094.0,019,二重里,10004020,竹東鎮,10004,新竹縣
11207,A0401-18-007,131380.0,009,竹義里,10004010,竹北市,10004,新竹縣
11207,A0401-18-004,129642.0,009,竹義里,10004010,竹北市,10004,新竹縣
11207,A0401-18-005,107342.0,009,竹義里,10004010,竹北市,10004,新竹縣
11203,A0405-22-001,267489.0,013,波羅村,10004050,湖口鄉,10004,新竹縣
11203,A0405-22-002,59597.0,012,湖南村,10004050,湖口鄉,10004,新竹縣
11207,A0402-15-009,1927.0,014,五豐里,10004020,竹東鎮,10004,新竹縣
11207,A0402-15-008,137850.0,015,三重里,10004020,竹東鎮,10004,新竹縣
