帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11202,A0910-09-002,120.0,006,九芎村,10009100,林內鄉,10009,雲林縣
11209,A0901-18-001,84713.0,032,鎮東里,10009010,斗六市,10009,雲林縣
11203,A0901-29-011,0.0,012,鎮南里,10009010,斗六市,10009,雲林縣
11203,A0901-29-010,111103.0,033,鎮西里,10009010,斗六市,10009,雲林縣
11205,A0919-02-005,86558.0,010,崙東村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-006,71950.0,004,埔北村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-003,55218.0,004,埔北村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-004,96890.0,004,埔北村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-007,109619.0,010,崙東村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-008,76255.0,003,頂湖村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-001,89654.0,010,崙東村,10009190,口湖鄉,10009,雲林縣
11205,A0919-02-002,6717.0,010,崙東村,10009190,口湖鄉,10009,雲林縣
11205,A0911-10-001,63794.0,002,崙西村,10009110,二崙鄉,10009,雲林縣
11205,A0911-10-003,43404.0,002,崙西村,10009110,二崙鄉,10009,雲林縣
11205,A0911-10-002,115203.0,001,崙東村,10009110,二崙鄉,10009,雲林縣
11205,A0911-10-005,38720.0,002,崙西村,10009110,二崙鄉,10009,雲林縣
11205,A0911-10-004,21615.0,001,崙東村,10009110,二崙鄉,10009,雲林縣
11207,A0918-07-007,1007.0,011,內湖村,10009180,四湖鄉,10009,雲林縣
11208,A0908-01-010,61758.0,006,嘉興村,10009080,大埤鄉,10009,雲林縣
11208,A0901-35-006,40.0,018,崙■里,10009010,斗六市,10009,雲林縣
11212,A0914-02-006,60486.0,010,同安村,10009140,東勢鄉,10009,雲林縣
11212,A0914-02-004,97095.0,010,同安村,10009140,東勢鄉,10009,雲林縣
11212,A0914-02-005,88558.0,010,同安村,10009140,東勢鄉,10009,雲林縣
11212,A0914-02-002,83890.0,010,同安村,10009140,東勢鄉,10009,雲林縣
11212,A0914-02-003,134660.0,010,同安村,10009140,東勢鄉,10009,雲林縣
11207,A0918-07-002,40.0,012,羊調村,10009180,四湖鄉,10009,雲林縣
11207,A0918-07-001,36449.0,019,溪尾村,10009180,四湖鄉,10009,雲林縣
11203,A0902-08-010,101001.0,012,將軍里,10009020,斗南鎮,10009,雲林縣
11207,A0918-07-006,12758.0,011,內湖村,10009180,四湖鄉,10009,雲林縣
11203,A0902-08-011,56225.0,012,將軍里,10009020,斗南鎮,10009,雲林縣
11207,A0918-07-004,0.0,012,羊調村,10009180,四湖鄉,10009,雲林縣
11208,A0908-01-002,47960.0,008,三結村,10009080,大埤鄉,10009,雲林縣
11208,A0908-01-003,34539.0,010,豐岡村,10009080,大埤鄉,10009,雲林縣
11208,A0908-01-005,69088.0,008,三結村,10009080,大埤鄉,10009,雲林縣
11208,A0908-01-006,92741.0,008,三結村,10009080,大埤鄉,10009,雲林縣
11201,A0903-03-010,42761.0,026,下溪里,10009030,虎尾鎮,10009,雲林縣
11208,A0908-01-007,198743.0,008,三結村,10009080,大埤鄉,10009,雲林縣
11208,A0908-01-008,47436.0,001,吉田村,10009080,大埤鄉,10009,雲林縣
11208,A0908-01-009,94202.0,001,吉田村,10009080,大埤鄉,10009,雲林縣
11201,A0903-03-007,137587.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11201,A0903-03-008,46730.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11203,A0902-08-004,50109.0,004,北銘里,10009020,斗南鎮,10009,雲林縣
11201,A0903-03-005,153269.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11203,A0902-08-001,7617.0,014,新光里,10009020,斗南鎮,10009,雲林縣
11201,A0903-03-006,50206.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11201,A0903-03-003,72540.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11201,A0903-03-004,77947.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11201,A0903-03-001,86740.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11201,A0903-03-002,22986.0,024,頂溪里,10009030,虎尾鎮,10009,雲林縣
11212,A0914-02-001,91682.0,010,同安村,10009140,東勢鄉,10009,雲林縣
11203,A0902-08-009,65803.0,013,東明里,10009020,斗南鎮,10009,雲林縣
11203,A0902-08-007,73555.0,004,北銘里,10009020,斗南鎮,10009,雲林縣
11203,A0902-08-008,64839.0,001,東仁里,10009020,斗南鎮,10009,雲林縣
11201,A0903-03-009,48860.0,023,惠來里,10009030,虎尾鎮,10009,雲林縣
11203,A0902-08-005,56472.0,004,北銘里,10009020,斗南鎮,10009,雲林縣
11203,A0902-08-006,6871.0,013,東明里,10009020,斗南鎮,10009,雲林縣
11201,A0911-05-001,1655.0,014,大庄村,10009110,二崙鄉,10009,雲林縣
11207,A0916-02-001,57362.0,014,蚊港村,10009160,臺西鄉,10009,雲林縣
11207,A0916-02-004,129422.0,013,和豐村,10009160,臺西鄉,10009,雲林縣
11207,A0916-02-002,91504.0,014,蚊港村,10009160,臺西鄉,10009,雲林縣
11207,A0916-02-003,93419.0,014,蚊港村,10009160,臺西鄉,10009,雲林縣
11201,A0911-05-005,105864.0,013,油車村,10009110,二崙鄉,10009,雲林縣
11205,A0913-15-005,152912.0,001,麥津村,10009130,麥寮鄉,10009,雲林縣
11205,A0913-15-006,243285.0,002,麥豐村,10009130,麥寮鄉,10009,雲林縣
11205,A0913-15-003,250200.0,001,麥津村,10009130,麥寮鄉,10009,雲林縣
11205,A0913-15-004,82062.0,001,麥津村,10009130,麥寮鄉,10009,雲林縣
11205,A0913-15-007,213571.0,002,麥豐村,10009130,麥寮鄉,10009,雲林縣
11206,A0904-17-005,78257.0,025,吳厝里,10009040,西螺鎮,10009,雲林縣
11206,A0904-17-004,65735.0,025,吳厝里,10009040,西螺鎮,10009,雲林縣
11208,A0909-09-003,12725.0,002,甘厝村,10009090,莿桐鄉,10009,雲林縣
11206,A0904-17-007,121446.0,025,吳厝里,10009040,西螺鎮,10009,雲林縣
11206,A0904-17-006,99300.0,025,吳厝里,10009040,西螺鎮,10009,雲林縣
11208,A0909-09-001,10478.0,004,興桐村,10009090,莿桐鄉,10009,雲林縣
11206,A0904-17-009,4797.0,025,吳厝里,10009040,西螺鎮,10009,雲林縣
11206,A0904-17-008,1169.0,024,九隆里,10009040,西螺鎮,10009,雲林縣
11207,A0902-13-003,94814.0,001,舊社里,10009020,斗南鎮,10009,雲林縣
11211,A0916-06-002,0.0,011,富琦村,10009160,臺西鄉,10009,雲林縣
11207,A0902-13-004,109209.0,012,將軍里,10009020,斗南鎮,10009,雲林縣
11207,A0902-13-006,41970.0,001,舊社里,10009020,斗南鎮,10009,雲林縣
11208,A0909-09-009,179.0,002,甘厝村,10009090,莿桐鄉,10009,雲林縣
11206,A0904-17-001,116887.0,026,七座里,10009040,西螺鎮,10009,雲林縣
11206,A0904-17-003,103630.0,024,九隆里,10009040,西螺鎮,10009,雲林縣
11207,A0902-13-001,169757.0,001,東仁里,10009020,斗南鎮,10009,雲林縣
11206,A0904-17-002,126102.0,024,九隆里,10009040,西螺鎮,10009,雲林縣
11207,A0902-13-002,121270.0,003,南昌里,10009020,斗南鎮,10009,雲林縣
11212,A0908-05-001,23999.0,001,北和村,10009080,大埤鄉,10009,雲林縣
11212,A0908-05-002,0.0,001,北和村,10009080,大埤鄉,10009,雲林縣
11206,A0911-11-003,127883.0,006,田尾村,10009110,二崙鄉,10009,雲林縣
11206,A0911-11-002,17622.0,003,來惠村,10009110,二崙鄉,10009,雲林縣
11206,A0911-11-005,79847.0,004,三和村,10009110,二崙鄉,10009,雲林縣
11206,A0911-11-004,5696.0,006,田尾村,10009110,二崙鄉,10009,雲林縣
11205,A0913-15-001,83973.0,001,麥津村,10009130,麥寮鄉,10009,雲林縣
11205,A0913-15-002,57700.0,001,麥津村,10009130,麥寮鄉,10009,雲林縣
11202,A0901-28-002,114034.0,012,鎮南里,10009010,斗六市,10009,雲林縣
11206,A0911-11-007,49808.0,004,三和村,10009110,二崙鄉,10009,雲林縣
11206,A0911-11-006,82462.0,004,三和村,10009110,二崙鄉,10009,雲林縣
11202,A0901-28-004,5320.0,035,社口里,10009010,斗六市,10009,雲林縣
11206,A0911-11-009,102152.0,004,三和村,10009110,二崙鄉,10009,雲林縣
11202,A0901-28-003,80234.0,012,鎮南里,10009010,斗六市,10009,雲林縣
11206,A0911-11-008,60962.0,004,三和村,10009110,二崙鄉,10009,雲林縣
11202,A0901-28-005,82724.0,012,鎮南里,10009010,斗六市,10009,雲林縣
