帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11206,A6406-20-001,188568.0,003,德生里,64000060,新興區,64000,高雄市
11206,A6406-20-002,149976.0,003,德生里,64000060,新興區,64000,高雄市
11209,A6417-27-190,118637.0,015,赤山村,64000170,仁武區,64000,高雄市
11207,A6430-09-069,229.0,015,東昌里,64000300,旗山區,64000,高雄市
11209,A6417-27-192,201240.0,001,大灣村,64000170,仁武區,64000,高雄市
11205,A6423-02-010,86886.0,009,青旗村,64000230,阿蓮區,64000,高雄市
11205,A6423-02-011,102316.0,009,青旗村,64000230,阿蓮區,64000,高雄市
11205,A6423-02-016,112247.0,009,青旗村,64000230,阿蓮區,64000,高雄市
11205,A6423-02-012,33880.0,009,青旗村,64000230,阿蓮區,64000,高雄市
11205,A6423-02-013,120816.0,001,石安村,64000230,阿蓮區,64000,高雄市
11203,A6412-C6-815,89111.0,073,二甲里,64000120,鳳山區,64000,高雄市
11205,A6423-02-014,51192.0,009,青旗村,64000230,阿蓮區,64000,高雄市
11205,A6414-38-173,772.0,006,琉球村,64000140,大寮區,64000,高雄市
11202,A6404-10-001,151670.0,001,清豐里,64000040,楠梓區,64000,高雄市
11202,A6414-23-221,53589.0,005,三隆村,64000140,大寮區,64000,高雄市
11205,A6423-02-005,75255.0,001,石安村,64000230,阿蓮區,64000,高雄市
11205,A6423-02-008,34881.0,001,石安村,64000230,阿蓮區,64000,高雄市
11203,A6412-C6-803,133885.0,073,二甲里,64000120,鳳山區,64000,高雄市
11209,A6417-27-199,28810.0,001,大灣村,64000170,仁武區,64000,高雄市
11209,A6409-55-002,0.0,032,良和里,64000090,前鎮區,64000,高雄市
11210,A6406-24-001,119996.0,001,浩然里,64000060,新興區,64000,高雄市
11208,A6417-26-149,1502.0,002,灣內村,64000170,仁武區,64000,高雄市
11201,A6426-17-115,4532.0,015,崎漏村,64000260,茄萣區,64000,高雄市
11209,A6405-08-005,169802.0,001,鼎金里,64000050,三民區,64000,高雄市
11209,A6405-08-006,159914.0,001,鼎金里,64000050,三民區,64000,高雄市
11209,A6405-08-003,120954.0,001,鼎金里,64000050,三民區,64000,高雄市
11209,A6405-08-004,166532.0,001,鼎金里,64000050,三民區,64000,高雄市
11211,A6414-09-060,95573.0,009,中庄村,64000140,大寮區,64000,高雄市
11201,A6415-13-098,77357.0,005,水寮村,64000150,大樹區,64000,高雄市
11206,A6430-08-034,53082.0,016,竹峰里,64000300,旗山區,64000,高雄市
11206,A6430-08-036,105665.0,017,瑞吉里,64000300,旗山區,64000,高雄市
11209,A6405-08-001,81085.0,001,鼎金里,64000050,三民區,64000,高雄市
11209,A6405-08-002,126888.0,003,鼎強里,64000050,三民區,64000,高雄市
11209,A6417-27-152,191176.0,015,赤山村,64000170,仁武區,64000,高雄市
11206,A6430-08-042,118824.0,016,竹峰里,64000300,旗山區,64000,高雄市
11206,A6430-08-043,85248.0,016,竹峰里,64000300,旗山區,64000,高雄市
11205,A6415-17-141,10274.0,003,久堂村,64000150,大樹區,64000,高雄市
11205,A6415-17-142,83193.0,003,久堂村,64000150,大樹區,64000,高雄市
11201,A6412-28-197,79084.0,045,忠孝里,64000120,鳳山區,64000,高雄市
11206,A6430-08-045,35073.0,016,竹峰里,64000300,旗山區,64000,高雄市
11206,A6430-08-046,74533.0,016,竹峰里,64000300,旗山區,64000,高雄市
11206,A6430-08-048,60267.0,016,竹峰里,64000300,旗山區,64000,高雄市
11207,A6412-94-595,23883.0,066,海洋里,64000120,鳳山區,64000,高雄市
11201,A6412-28-191,74381.0,045,忠孝里,64000120,鳳山區,64000,高雄市
11206,A6430-08-051,641.0,003,湄洲里,64000300,旗山區,64000,高雄市
11205,A6415-17-135,23338.0,004,水安村,64000150,大樹區,64000,高雄市
11207,A6430-09-012,1451.0,007,中正里,64000300,旗山區,64000,高雄市
11210,A6412-62-390,137584.0,051,誠德里,64000120,鳳山區,64000,高雄市
11210,A6412-62-393,139875.0,031,東門里,64000120,鳳山區,64000,高雄市
11210,A6412-62-394,75386.0,031,東門里,64000120,鳳山區,64000,高雄市
11209,A6417-27-159,223154.0,015,赤山村,64000170,仁武區,64000,高雄市
11209,A6417-27-171,417204.0,015,赤山村,64000170,仁武區,64000,高雄市
11201,A6412-28-178,132796.0,045,忠孝里,64000120,鳳山區,64000,高雄市
11209,A6417-27-170,248352.0,015,赤山村,64000170,仁武區,64000,高雄市
11207,A6404-63-001,1168.0,033,加昌里,64000040,楠梓區,64000,高雄市
11211,A6405-46-008,140211.0,061,安泰里,64000050,三民區,64000,高雄市
