帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11206,A6311-37-005,169873.0,035,蘭興里,63000110,士林區,63000,臺北市
11208,A6307-66-001,113151.0,031,興德里,63000070,萬華區,63000,臺北市
11206,A6311-37-004,98665.0,035,蘭興里,63000110,士林區,63000,臺北市
11208,A6307-66-002,177629.0,031,興德里,63000070,萬華區,63000,臺北市
11206,A6311-37-003,54527.0,035,蘭興里,63000110,士林區,63000,臺北市
11206,A6311-37-002,105220.0,035,蘭興里,63000110,士林區,63000,臺北市
11206,A6311-37-001,69196.0,035,蘭興里,63000110,士林區,63000,臺北市
11206,A6311-37-008,50788.0,035,蘭興里,63000110,士林區,63000,臺北市
11206,A6311-37-007,61973.0,035,蘭興里,63000110,士林區,63000,臺北市
11206,A6311-37-006,93524.0,035,蘭興里,63000110,士林區,63000,臺北市
11204,A6305-56-003,73434.0,001,水源里,63000050,中正區,63000,臺北市
11204,A6305-56-002,61830.0,002,富水里,63000050,中正區,63000,臺北市
11204,A6305-56-001,135672.0,001,水源里,63000050,中正區,63000,臺北市
11205,A6303-99-002,113.0,043,大學里,63000030,大安區,63000,臺北市
11201,A6302-21-005,55253.0,026,大道里,63000020,信義區,63000,臺北市
11212,A6307-23-004,82.0,017,綠堤里,63000070,萬華區,63000,臺北市
11201,A6302-21-004,83989.0,026,大道里,63000020,信義區,63000,臺北市
11201,A6302-21-007,40511.0,026,大道里,63000020,信義區,63000,臺北市
11204,A6305-56-009,183450.0,001,水源里,63000050,中正區,63000,臺北市
11201,A6302-21-006,105437.0,026,大道里,63000020,信義區,63000,臺北市
11204,A6305-56-008,119764.0,001,水源里,63000050,中正區,63000,臺北市
11201,A6302-21-001,67101.0,026,大道里,63000020,信義區,63000,臺北市
11204,A6305-56-007,50124.0,001,水源里,63000050,中正區,63000,臺北市
11204,A6305-56-006,157507.0,001,水源里,63000050,中正區,63000,臺北市
11201,A6302-21-003,93723.0,026,大道里,63000020,信義區,63000,臺北市
11204,A6305-56-005,35173.0,002,富水里,63000050,中正區,63000,臺北市
11201,A6302-21-002,67549.0,026,大道里,63000020,信義區,63000,臺北市
11204,A6305-56-004,121431.0,001,水源里,63000050,中正區,63000,臺北市
11209,A6301-15-001,91239.0,016,民有里,63000010,松山區,63000,臺北市
11204,A6306-35-001,15151.0,006,朝陽里,63000060,大同區,63000,臺北市
11201,A6302-21-008,48590.0,026,大道里,63000020,信義區,63000,臺北市
11204,A6306-35-003,50121.0,006,朝陽里,63000060,大同區,63000,臺北市
11209,A6301-15-008,252779.0,016,民有里,63000010,松山區,63000,臺北市
11209,A6301-15-009,249652.0,016,民有里,63000010,松山區,63000,臺北市
11209,A6301-15-006,171819.0,016,民有里,63000010,松山區,63000,臺北市
