帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11204,A6732-42-007,110858.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-008,179701.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-005,53460.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-006,74663.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-003,71954.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-004,78903.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-001,73229.0,035,虎尾里,67000320,東區,67000,臺南市
11204,A6732-42-002,89750.0,035,虎尾里,67000320,東區,67000,臺南市
11210,A6723-02-004,436.0,010,豐里村,67000230,玉井區,67000,臺南市
11210,A6723-02-003,77619.0,003,中正村,67000230,玉井區,67000,臺南市
11210,A6723-02-002,55100.0,003,中正村,67000230,玉井區,67000,臺南市
11210,A6723-02-001,883.0,010,豐里村,67000230,玉井區,67000,臺南市
11212,A6714-05-007,118495.0,012,慶安村,67000140,西港區,67000,臺南市
11212,A6714-05-001,95250.0,001,西港村,67000140,西港區,67000,臺南市
11212,A6733-30-007,25190.0,034,明興里,67000330,南區,67000,臺南市
11212,A6714-05-002,87147.0,001,西港村,67000140,西港區,67000,臺南市
11212,A6714-05-005,152446.0,001,西港村,67000140,西港區,67000,臺南市
11203,A6735-25-010,415.0,030,城南里,67000350,安南區,67000,臺南市
11212,A6714-05-006,114415.0,012,慶安村,67000140,西港區,67000,臺南市
11203,A6735-25-011,3836.0,031,城西里,67000350,安南區,67000,臺南市
11212,A6733-30-008,1128.0,034,明興里,67000330,南區,67000,臺南市
11212,A6714-05-003,108101.0,012,慶安村,67000140,西港區,67000,臺南市
11212,A6714-05-004,40158.0,001,西港村,67000140,西港區,67000,臺南市
11208,A6716-06-010,185608.0,002,西華村,67000160,將軍區,67000,臺南市
11208,A6716-06-011,66644.0,003,西和村,67000160,將軍區,67000,臺南市
