年度,縣市別,包制戶數,包制用電量,表制戶數,表制用電量,LED戶數,LED用電量
113,台北市,76,"10,934,227",27,"1,080,639",401,"67,659,752"
113,基隆市,35,"2,798,508",9,"146,674",26,"14,406,103"
113,台中市,362,"143,612,455",99,"3,710,467",172,"61,252,054"
113,台南市,417,"44,605,824",20,"168,315",342,"88,353,825"
113,高雄市,178,"56,160,836",125,"1,178,054",165,"87,964,168"
113,新北市,264,"25,221,248",48,"487,744",296,"95,044,793"
113,宜蘭縣,132,"50,623,916",18,"172,437",68,"9,521,140"
113,桃園市,165,"32,233,227",120,"1,062,071",93,"60,468,642"
113,新竹縣,140,"48,175,083",15,"137,058",113,"12,229,890"
113,新竹市,15,"6,977,107",4,"14,015",16,"14,063,906"
113,苗栗縣,159,"38,122,409",32,"2,017,050",94,"15,544,238"
113,南投縣,155,"39,879,725",46,"1,551,208",65,"11,991,479"
113,彰化縣,404,"42,002,086",17,"74,475",406,"66,598,062"
113,嘉義縣,472,"20,811,073",4,"161,967",784,"32,373,478"
113,嘉義市,6,"1,353,495",4,"86,704",92,"11,330,078"
113,雲林縣,566,"29,715,396",14,"55,125",244,"38,939,564"
113,屏東縣,341,"46,791,443", -   , -   ,305,"28,101,644"
113,花蓮縣,115,"57,094,657",24,"2,116,052",53,"7,602,564"
113,台東縣,55,"6,071,182",9,"371,430",106,"11,131,632"
113,澎湖縣,84,"8,469,642",6,"24,033",97,"3,648,827"
113,金門縣,7,"382,239", -   , -   ,530,"7,737,680"
113,連江縣,151,"2,351,191",43,"173,145",18,"134,989"
112,台北市,119,"15,103,767",27,"1,069,299",407,"65,269,082"
112,基隆市,37,"2,805,937",9,"149,029",26,"14,322,641"
112,台中市,360,"144,796,090",99,"3,786,783",167,"60,196,868"
112,台南市,486,"88,822,719",20,"191,099",358,"73,700,722"
112,高雄市,178,"59,824,269",126,"1,237,091",148,"86,153,570"
112,新北市,281,"26,717,941",45,"465,465",293,"98,513,786"
112,宜蘭縣,140,"52,953,854",18,"158,351",68,"8,519,095"
112,桃園市,165,"33,995,101",120,"1,112,022",92,"57,938,198"
112,新竹縣,145,"48,915,129",16,"113,450",110,"11,601,651"
112,新竹市,18,"7,154,590",4,"13,720",16,"13,865,988"
112,苗栗縣,159,"38,481,613",32,"1,895,667",93,"15,256,302"
112,南投縣,150,"39,772,125",46,"1,543,236",64,"11,715,633"
112,彰化縣,385,"42,750,698",16,"73,541",403,"65,582,149"
112,嘉義縣,479,"21,024,232",4,"168,892",755,"32,078,619"
112,嘉義市,6,"1,370,548",4,"90,382",91,"11,300,305"
112,雲林縣,570,"30,166,097",12,"48,567",238,"38,054,245"
112,屏東縣,343,"48,007,648",  -    ,  -    ,297,"27,599,324"
112,花蓮縣,117,"58,051,009",25,"2,607,433",55,"7,961,867"
112,台東縣,55,"6,068,524",9,"348,205",104,"10,956,386"
112,澎湖縣,84,"8,516,587",6,"22,262",97,"3,660,810"
112,金門縣,7,"382,239",  -    ,  -    ,531,"7,654,342"
112,連江縣,152,"2,335,245",43,"169,284",16,"134,566"
111,新北市,290,"27,356,390",45,"462,523",280,"98,546,868"
111,台北市,164,"22,484,899",27,"1,091,235",389,"61,640,339"
111,桃園市,162,"35,515,907",117,"1,197,292",85,"55,942,056"
111,台中市,363,"144,456,820",99,"4,019,341",161,"59,385,470"
111,台南市,533,"133,431,570",21,"211,771",349,"58,355,868"
111,高雄市,179,"67,731,176",126,"1,240,455",115,"83,399,270"
111,宜蘭縣,135,"53,875,427",18,"164,789",61,"7,749,737"
111,新竹縣,153,"47,672,120",16,"132,222",104,"12,704,726"
111,苗栗縣,160,"39,319,001",32,"1,906,033",87,"14,826,712"
111,彰化縣,391,"45,524,656",16,"72,213",384,"64,535,567"
111,南投縣,148,"40,337,465",46,"1,598,765",62,"11,296,985"
111,雲林縣,569,"31,277,625",11,"39,394",234,"36,902,520"
111,嘉義縣,476,"21,387,290",5,"167,856",735,"31,760,965"
111,屏東縣,347,"49,025,667",  -    ,  -    ,286,"26,916,088"
111,台東縣,56,"6,114,285",9,"345,559",97,"10,763,223"
111,花蓮縣,120,"57,904,493",25,"2,884,867",57,"7,793,212"
111,澎湖縣,84,"8,684,567",6,"20,988",97,"3,582,128"
111,基隆市,36,"2,858,948",9,"150,925",27,"14,238,637"
111,新竹市,19,"7,167,726",4,"13,503",15,"13,716,298"
111,嘉義市,12,"1,449,756",4,"90,497",88,"10,997,953"
111,金門縣,1,"15,444",  -    ,  -    ,531,"7,446,969"
111,連江縣,152,"2,322,521",43,"163,411",15,"130,720"
110,新北市,292,"29,888,204",46,"481,699",268,"99,534,808"
110,台北市,234,"25,956,723",26,"1,099,696",383,"60,029,885"
110,桃園市,165,"41,796,940",113,"1,191,373",81,"51,966,422"
110,台中市,360,"144,401,691",99,"4,233,047",157,"58,814,636"
110,台南市,545,"134,189,552",21,"209,608",339,"57,074,338"
110,高雄市,182,"96,880,066",126,"1,176,219",176,"76,163,391"
110,宜蘭縣,135,"55,374,993",18,"152,728",62,"6,849,782"
110,新竹縣,152,"47,679,622",16,"117,201",106,"12,190,547"
110,苗栗縣,159,"41,807,945",32,"1,982,521",85,"14,012,380"
110,彰化縣,460,"52,230,987",14,"74,967",412,"61,745,731"
110,南投縣,151,"40,374,657",45,"1,566,904",57,"11,087,510"
110,雲林縣,581,"34,423,195",9,"29,111",222,"35,303,541"
110,嘉義縣,489,"22,091,279",5,"180,116",714,"31,033,908"
110,屏東縣,365,"50,200,983",  -    ,  -    ,273,"26,009,493"
110,台東縣,55,"6,134,778",9,"357,905",93,"10,542,742"
110,花蓮縣,121,"57,989,642",25,"2,823,202",59,"7,631,649"
110,澎湖縣,85,"9,003,124",6,"19,313",89,"3,500,698"
110,基隆市,36,"2,939,078",9,"150,003",26,"14,206,655"
110,新竹市,19,"7,202,979",4,"13,918",14,"13,488,719"
110,嘉義市,12,"1,454,796",4,"98,654",88,"10,971,623"
110,金門縣,1,"15,444",  -    ,  -    ,533,"7,323,180"
110,連江縣,153,"2,362,323",41,"173,628",13,"130,187"
