帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11212,A2002-17-010,98462.0,019,港坪里,10020020,西區,10020,嘉義市
11208,A2001-43-009,5326.0,052,安寮里,10020010,東區,10020,嘉義市
11208,A2001-43-005,145180.0,050,芳安里,10020010,東區,10020,嘉義市
11207,A2002-30-003,62737.0,051,育英里,10020020,西區,10020,嘉義市
11209,A2002-05-002,24150.0,010,新厝里,10020020,西區,10020,嘉義市
11209,A2002-05-001,19353.0,010,新厝里,10020020,西區,10020,嘉義市
11207,A2002-30-008,83995.0,051,育英里,10020020,西區,10020,嘉義市
11209,A2002-05-006,260203.0,011,保安里,10020020,西區,10020,嘉義市
11209,A2002-05-005,150564.0,011,保安里,10020020,西區,10020,嘉義市
11209,A2002-05-004,124934.0,011,保安里,10020020,西區,10020,嘉義市
11209,A2002-05-003,9980.0,010,新厝里,10020020,西區,10020,嘉義市
11209,A2002-05-007,119586.0,011,保安里,10020020,西區,10020,嘉義市
11211,A2002-25-002,50247.0,018,磚■里,10020020,西區,10020,嘉義市
11210,A2002-42-001,121844.0,047,車店里,10020020,西區,10020,嘉義市
11211,A2002-25-003,16284.0,019,港坪里,10020020,西區,10020,嘉義市
11211,A2002-25-001,5991.0,019,港坪里,10020020,西區,10020,嘉義市
11203,A2001-37-007,7686.0,052,安寮里,10020010,東區,10020,嘉義市
11203,A2001-37-005,30483.0,052,安寮里,10020010,東區,10020,嘉義市
11203,A2001-37-006,87923.0,052,安寮里,10020010,東區,10020,嘉義市
11203,A2001-37-004,100403.0,048,豐年里,10020010,東區,10020,嘉義市
11203,A2001-37-001,141194.0,048,豐年里,10020010,東區,10020,嘉義市
11203,A2001-37-002,151337.0,048,豐年里,10020010,東區,10020,嘉義市
11211,A2002-25-006,8017.0,019,港坪里,10020020,西區,10020,嘉義市
11211,A2002-25-007,235719.0,018,磚■里,10020020,西區,10020,嘉義市
11211,A2002-25-004,85019.0,018,磚■里,10020020,西區,10020,嘉義市
11211,A2002-25-005,158028.0,018,磚■里,10020020,西區,10020,嘉義市
11211,A2002-25-008,81196.0,019,港坪里,10020020,西區,10020,嘉義市
11211,A2002-25-009,243697.0,018,磚■里,10020020,西區,10020,嘉義市
11201,A2002-41-001,90133.0,051,育英里,10020020,西區,10020,嘉義市
11201,A2002-41-002,33865.0,051,育英里,10020020,西區,10020,嘉義市
11201,A2002-41-003,33286.0,051,育英里,10020020,西區,10020,嘉義市
11203,A2002-16-002,4650.0,005,重興里,10020020,西區,10020,嘉義市
11201,A2002-41-005,27623.0,050,美源里,10020020,西區,10020,嘉義市
11201,A2002-41-006,47747.0,050,美源里,10020020,西區,10020,嘉義市
11201,A2002-41-007,41728.0,050,美源里,10020020,西區,10020,嘉義市
11201,A2002-41-009,89348.0,050,美源里,10020020,西區,10020,嘉義市
11209,A2001-35-002,227369.0,047,興南里,10020010,東區,10020,嘉義市
11209,A2001-35-001,114810.0,046,宣信里,10020010,東區,10020,嘉義市
11209,A2001-35-004,26034.0,047,興南里,10020010,東區,10020,嘉義市
11203,A2002-16-008,142051.0,037,榮檜里,10020020,西區,10020,嘉義市
11209,A2001-35-003,188330.0,046,宣信里,10020010,東區,10020,嘉義市
11209,A2001-35-006,62407.0,046,宣信里,10020010,東區,10020,嘉義市
11209,A2001-35-005,96143.0,046,宣信里,10020010,東區,10020,嘉義市
11209,A2001-35-008,225438.0,047,興南里,10020010,東區,10020,嘉義市
11209,A2001-35-007,64775.0,047,興南里,10020010,東區,10020,嘉義市
11212,A2002-17-001,72526.0,014,竹村里,10020020,西區,10020,嘉義市
11202,A2001-45-008,41750.0,055,興仁里,10020010,東區,10020,嘉義市
11202,A2001-45-007,60467.0,055,興仁里,10020010,東區,10020,嘉義市
11202,A2001-45-009,44992.0,055,興仁里,10020010,東區,10020,嘉義市
11203,A2002-07-008,51904.0,010,新厝里,10020020,西區,10020,嘉義市
11203,A2002-07-007,134140.0,002,湖邊里,10020020,西區,10020,嘉義市
11203,A2002-07-004,44502.0,010,新厝里,10020020,西區,10020,嘉義市
11203,A2002-07-003,28741.0,010,新厝里,10020020,西區,10020,嘉義市
11203,A2002-07-006,79071.0,011,保安里,10020020,西區,10020,嘉義市
11203,A2002-07-005,21183.0,010,新厝里,10020020,西區,10020,嘉義市
11203,A2002-07-002,65933.0,010,新厝里,10020020,西區,10020,嘉義市
11202,A2001-45-004,65522.0,055,興仁里,10020010,東區,10020,嘉義市
11212,A2002-17-009,73714.0,015,大溪里,10020020,西區,10020,嘉義市
11202,A2001-45-003,125662.0,055,興仁里,10020010,東區,10020,嘉義市
11212,A2002-17-008,30484.0,015,大溪里,10020020,西區,10020,嘉義市
11202,A2001-45-006,77333.0,055,興仁里,10020010,東區,10020,嘉義市
11212,A2002-17-007,48661.0,015,大溪里,10020020,西區,10020,嘉義市
11202,A2001-45-005,39728.0,055,興仁里,10020010,東區,10020,嘉義市
11212,A2002-17-006,121738.0,015,大溪里,10020020,西區,10020,嘉義市
11212,A2002-17-005,84180.0,015,大溪里,10020020,西區,10020,嘉義市
11212,A2002-17-004,66243.0,015,大溪里,10020020,西區,10020,嘉義市
11202,A2001-45-002,91386.0,055,興仁里,10020010,東區,10020,嘉義市
11212,A2002-17-003,32312.0,015,大溪里,10020020,西區,10020,嘉義市
11202,A2001-45-001,52912.0,055,興仁里,10020010,東區,10020,嘉義市
11212,A2002-17-002,102601.0,015,大溪里,10020020,西區,10020,嘉義市
11207,A2002-21-007,128483.0,016,福全里,10020020,西區,10020,嘉義市
11208,A2001-34-001,4120.0,042,鹿寮里,10020010,東區,10020,嘉義市
11204,A2002-08-002,912.0,002,湖邊里,10020020,西區,10020,嘉義市
11202,A2002-33-006,95774.0,054,翠岱里,10020020,西區,10020,嘉義市
11202,A2002-33-005,109896.0,043,華明里,10020020,西區,10020,嘉義市
11202,A2002-33-008,103420.0,054,翠岱里,10020020,西區,10020,嘉義市
11203,A2001-46-002,62673.0,052,安寮里,10020010,東區,10020,嘉義市
11207,A2002-21-002,89558.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-33-007,76886.0,052,致遠里,10020020,西區,10020,嘉義市
11203,A2001-46-001,100470.0,052,安寮里,10020010,東區,10020,嘉義市
11207,A2002-21-001,162867.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-33-002,59283.0,043,華明里,10020020,西區,10020,嘉義市
11207,A2002-21-004,120292.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-33-001,52767.0,043,華明里,10020020,西區,10020,嘉義市
11203,A2001-46-003,8335.0,053,興安里,10020010,東區,10020,嘉義市
11207,A2002-21-003,110940.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-33-004,47999.0,045,培元里,10020020,西區,10020,嘉義市
11207,A2002-21-006,326776.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-33-003,22130.0,045,培元里,10020020,西區,10020,嘉義市
11207,A2002-21-005,101661.0,016,福全里,10020020,西區,10020,嘉義市
11203,A2001-46-007,44537.0,053,興安里,10020010,東區,10020,嘉義市
11202,A2002-33-009,66521.0,052,致遠里,10020020,西區,10020,嘉義市
11204,A2002-08-004,3162.0,001,香湖里,10020020,西區,10020,嘉義市
11204,A2002-08-006,40.0,003,北榮里,10020020,西區,10020,嘉義市
11204,A2002-08-008,44280.0,003,北榮里,10020020,西區,10020,嘉義市
11204,A2002-08-009,78351.0,003,北榮里,10020020,西區,10020,嘉義市
11212,A2001-47-001,8632.0,042,鹿寮里,10020010,東區,10020,嘉義市
11212,A2002-26-008,250.0,024,菜園里,10020020,西區,10020,嘉義市
11204,A2002-08-010,29390.0,003,北榮里,10020020,西區,10020,嘉義市
11212,A2002-26-007,905.0,031,書院里,10020020,西區,10020,嘉義市
11202,A2002-15-005,134029.0,011,保安里,10020020,西區,10020,嘉義市
11202,A2002-15-006,108933.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-15-007,172261.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-15-008,181461.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-15-001,1420.0,011,保安里,10020020,西區,10020,嘉義市
11202,A2002-15-002,107674.0,016,福全里,10020020,西區,10020,嘉義市
11202,A2002-15-003,159937.0,016,福全里,10020020,西區,10020,嘉義市
11209,A1001-01-002,1620.0,016,北新里,10010010,太保市,10010,嘉義縣
11202,A2002-15-004,152254.0,016,福全里,10020020,西區,10020,嘉義市
11203,A2002-25-001,5206.0,019,港坪里,10020020,西區,10020,嘉義市
11209,A2001-26-005,16572.0,037,王田里,10020010,東區,10020,嘉義市
11203,A2002-25-002,43494.0,018,磚■里,10020020,西區,10020,嘉義市
11209,A2001-26-006,365982.0,038,東川里,10020010,東區,10020,嘉義市
11209,A2001-26-004,266980.0,043,長竹里,10020010,東區,10020,嘉義市
11203,A2002-25-005,122824.0,018,磚■里,10020020,西區,10020,嘉義市
11209,A2001-26-009,176835.0,044,短竹里,10020010,東區,10020,嘉義市
11203,A2002-25-006,4815.0,019,港坪里,10020020,西區,10020,嘉義市
11203,A2002-25-003,13225.0,019,港坪里,10020020,西區,10020,嘉義市
11209,A2001-26-007,102715.0,038,東川里,10020010,東區,10020,嘉義市
11203,A2002-25-004,65577.0,018,磚■里,10020020,西區,10020,嘉義市
11209,A2001-26-008,165653.0,044,短竹里,10020010,東區,10020,嘉義市
11212,A2001-29-008,162735.0,030,龍山里,10020010,東區,10020,嘉義市
11212,A2001-29-007,26291.0,030,龍山里,10020010,東區,10020,嘉義市
11212,A2001-29-006,60123.0,022,東山里,10020010,東區,10020,嘉義市
11212,A2001-29-005,79162.0,018,東安里,10020010,東區,10020,嘉義市
11212,A2001-29-004,81242.0,022,東山里,10020010,東區,10020,嘉義市
11209,A2001-26-001,86253.0,043,長竹里,10020010,東區,10020,嘉義市
11212,A2001-29-003,102385.0,024,東噴里,10020010,東區,10020,嘉義市
11212,A2001-29-002,181146.0,024,東噴里,10020010,東區,10020,嘉義市
11212,A2001-29-001,101830.0,024,東噴里,10020010,東區,10020,嘉義市
11203,A2002-25-009,173087.0,018,磚■里,10020020,西區,10020,嘉義市
11203,A2002-25-007,185471.0,018,磚■里,10020020,西區,10020,嘉義市
11203,A2002-25-008,69686.0,019,港坪里,10020020,西區,10020,嘉義市
11203,A2001-28-006,118322.0,038,東川里,10020010,東區,10020,嘉義市
