帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11206,A0210-04-001,141991.0,016,尚武村,10002100,三星鄉,10002,宜蘭縣
11206,A0210-04-007,148423.0,011,行健村,10002100,三星鄉,10002,宜蘭縣
11206,A0210-04-006,163316.0,011,行健村,10002100,三星鄉,10002,宜蘭縣
11206,A0210-04-005,132146.0,014,萬富村,10002100,三星鄉,10002,宜蘭縣
11206,A0210-04-004,128046.0,015,大義村,10002100,三星鄉,10002,宜蘭縣
11206,A0210-04-003,126254.0,015,大義村,10002100,三星鄉,10002,宜蘭縣
11206,A0210-04-002,101199.0,013,貴林村,10002100,三星鄉,10002,宜蘭縣
11202,A0201-18-003,194239.0,015,延平里,10002010,宜蘭市,10002,宜蘭縣
11202,A0201-18-004,125504.0,015,延平里,10002010,宜蘭市,10002,宜蘭縣
11202,A0201-18-001,155266.0,015,延平里,10002010,宜蘭市,10002,宜蘭縣
11202,A0201-18-002,117559.0,017,慈安里,10002010,宜蘭市,10002,宜蘭縣
11208,A0201-07-006,133355.0,021,小東里,10002010,宜蘭市,10002,宜蘭縣
11208,A0201-07-004,56699.0,021,小東里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-24-007,50381.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-24-008,137685.0,038,思源里,10002010,宜蘭市,10002,宜蘭縣
11203,A0207-06-005,81524.0,009,永和村,10002070,員山鄉,10002,宜蘭縣
11208,A0201-07-007,21217.0,022,菜園里,10002010,宜蘭市,10002,宜蘭縣
11208,A0201-07-008,49969.0,021,小東里,10002010,宜蘭市,10002,宜蘭縣
11202,A0201-18-007,233392.0,015,延平里,10002010,宜蘭市,10002,宜蘭縣
11203,A0207-06-003,62651.0,009,永和村,10002070,員山鄉,10002,宜蘭縣
11207,A0201-24-003,136734.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-24-004,104901.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11207,A0209-07-001,134802.0,008,五結村,10002090,五結鄉,10002,宜蘭縣
11202,A0201-18-005,26808.0,015,延平里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-24-005,58736.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11202,A0201-18-006,18402.0,015,延平里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-24-006,113574.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-24-001,120039.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11203,A0205-10-005,214.0,010,三民村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-24-002,21348.0,037,建軍里,10002010,宜蘭市,10002,宜蘭縣
11206,A0202-11-001,586.0,022,信義里,10002020,羅東鎮,10002,宜蘭縣
11207,A0209-07-008,62692.0,009,大吉村,10002090,五結鄉,10002,宜蘭縣
11207,A0209-07-006,60074.0,009,大吉村,10002090,五結鄉,10002,宜蘭縣
11206,A0202-11-004,5964.0,005,東安里,10002020,羅東鎮,10002,宜蘭縣
11207,A0209-07-007,327882.0,008,五結村,10002090,五結鄉,10002,宜蘭縣
11206,A0202-11-005,230267.0,005,東安里,10002020,羅東鎮,10002,宜蘭縣
11207,A0209-07-004,79404.0,008,五結村,10002090,五結鄉,10002,宜蘭縣
11207,A0209-07-005,106960.0,009,大吉村,10002090,五結鄉,10002,宜蘭縣
11206,A0202-11-007,6559.0,005,東安里,10002020,羅東鎮,10002,宜蘭縣
11207,A0209-07-002,73310.0,009,大吉村,10002090,五結鄉,10002,宜蘭縣
11206,A0202-11-008,88664.0,005,東安里,10002020,羅東鎮,10002,宜蘭縣
11207,A0209-07-003,174205.0,009,大吉村,10002090,五結鄉,10002,宜蘭縣
11210,A0201-36-006,20662.0,009,南橋里,10002010,宜蘭市,10002,宜蘭縣
11210,A0201-36-007,76099.0,010,建業里,10002010,宜蘭市,10002,宜蘭縣
11210,A0201-36-008,543612.0,010,建業里,10002010,宜蘭市,10002,宜蘭縣
11210,A0201-36-001,250328.0,010,建業里,10002010,宜蘭市,10002,宜蘭縣
11205,A0210-12-002,103575.0,003,天福村,10002100,三星鄉,10002,宜蘭縣
11210,A0201-36-002,271169.0,010,建業里,10002010,宜蘭市,10002,宜蘭縣
11205,A0210-12-003,81588.0,004,雙賢村,10002100,三星鄉,10002,宜蘭縣
11210,A0201-36-003,40728.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11210,A0201-36-004,19155.0,009,南橋里,10002010,宜蘭市,10002,宜蘭縣
11205,A0210-12-001,31614.0,003,天福村,10002100,三星鄉,10002,宜蘭縣
11205,A0210-12-006,51800.0,006,義德村,10002100,三星鄉,10002,宜蘭縣
11205,A0210-12-004,84573.0,002,天山村,10002100,三星鄉,10002,宜蘭縣
11205,A0210-12-008,40949.0,007,集慶村,10002100,三星鄉,10002,宜蘭縣
11205,A0210-12-009,32682.0,002,天山村,10002100,三星鄉,10002,宜蘭縣
11212,A0207-07-007,13861.0,001,員山村,10002070,員山鄉,10002,宜蘭縣
11201,A0201-26-004,55129.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-26-003,100228.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-26-006,45389.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11210,A0208-02-001,1200.0,023,柯林村,10002080,冬山鄉,10002,宜蘭縣
11201,A0201-26-005,194400.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-26-002,62535.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-26-001,155565.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11205,A0210-12-010,50674.0,001,員山村,10002100,三星鄉,10002,宜蘭縣
11201,A0201-26-008,69321.0,040,復興里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-26-007,124952.0,039,文化里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-26-009,133971.0,040,復興里,10002010,宜蘭市,10002,宜蘭縣
11207,A0202-03-004,50040.0,024,仁愛里,10002020,羅東鎮,10002,宜蘭縣
11207,A0202-03-003,850.0,023,竹林里,10002020,羅東鎮,10002,宜蘭縣
11207,A0202-03-006,175.0,023,竹林里,10002020,羅東鎮,10002,宜蘭縣
11207,A0202-03-005,47011.0,023,竹林里,10002020,羅東鎮,10002,宜蘭縣
11206,A0204-07-001,9289.0,017,福成里,10002040,頭城鎮,10002,宜蘭縣
11206,A0204-07-006,55932.0,023,二城里,10002040,頭城鎮,10002,宜蘭縣
11206,A0204-07-005,2770.0,018,金面里,10002040,頭城鎮,10002,宜蘭縣
11207,A0202-03-008,96536.0,024,仁愛里,10002020,羅東鎮,10002,宜蘭縣
11207,A0202-03-007,85419.0,023,竹林里,10002020,羅東鎮,10002,宜蘭縣
11208,A0209-08-004,118289.0,011,孝威村,10002090,五結鄉,10002,宜蘭縣
11208,A0209-08-005,21033.0,012,錦眾村,10002090,五結鄉,10002,宜蘭縣
11208,A0209-08-002,114844.0,012,錦眾村,10002090,五結鄉,10002,宜蘭縣
11208,A0209-08-003,206984.0,011,孝威村,10002090,五結鄉,10002,宜蘭縣
11211,A0208-03-010,217717.0,022,廣安村,10002080,冬山鄉,10002,宜蘭縣
11208,A0209-08-006,169137.0,011,孝威村,10002090,五結鄉,10002,宜蘭縣
11208,A0209-08-007,276108.0,011,孝威村,10002090,五結鄉,10002,宜蘭縣
11201,A0201-35-005,142066.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-35-001,94277.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-35-002,90161.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-35-003,196444.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11201,A0201-35-004,219766.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11208,A0209-08-001,127101.0,012,錦眾村,10002090,五結鄉,10002,宜蘭縣
11208,A0207-12-006,332746.0,005,深溝村,10002070,員山鄉,10002,宜蘭縣
11208,A0207-12-005,12805.0,006,蓁巷村,10002070,員山鄉,10002,宜蘭縣
11206,A0201-23-001,62762.0,001,神農里,10002010,宜蘭市,10002,宜蘭縣
11208,A0207-12-004,282012.0,005,深溝村,10002070,員山鄉,10002,宜蘭縣
11206,A0201-23-002,18640.0,002,民權里,10002010,宜蘭市,10002,宜蘭縣
11208,A0207-12-003,117443.0,006,蓁巷村,10002070,員山鄉,10002,宜蘭縣
11206,A0201-23-003,92002.0,001,神農里,10002010,宜蘭市,10002,宜蘭縣
11208,A0207-12-002,202365.0,005,深溝村,10002070,員山鄉,10002,宜蘭縣
11206,A0201-23-004,14750.0,002,民權里,10002010,宜蘭市,10002,宜蘭縣
11208,A0207-12-001,253662.0,006,蓁巷村,10002070,員山鄉,10002,宜蘭縣
11204,A0205-02-001,379590.0,001,白雲村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-33-003,185147.0,040,復興里,10002010,宜蘭市,10002,宜蘭縣
11209,A0201-08-001,186005.0,029,慶和里,10002010,宜蘭市,10002,宜蘭縣
11207,A0201-33-004,135244.0,040,復興里,10002010,宜蘭市,10002,宜蘭縣
11209,A0201-08-002,277658.0,029,慶和里,10002010,宜蘭市,10002,宜蘭縣
11204,A0205-02-003,33406.0,002,玉石村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-33-001,143929.0,002,民權里,10002010,宜蘭市,10002,宜蘭縣
11204,A0205-02-002,61919.0,002,玉石村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-33-002,71708.0,040,復興里,10002010,宜蘭市,10002,宜蘭縣
11204,A0205-02-005,409131.0,002,玉石村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-33-007,84298.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11204,A0205-02-004,28651.0,002,玉石村,10002050,礁溪鄉,10002,宜蘭縣
11204,A0205-02-007,19239.0,003,德陽村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-33-005,101595.0,002,民權里,10002010,宜蘭市,10002,宜蘭縣
11204,A0205-02-006,172409.0,002,玉石村,10002050,礁溪鄉,10002,宜蘭縣
11207,A0201-33-006,430034.0,008,進士里,10002010,宜蘭市,10002,宜蘭縣
11207,A0209-16-008,307688.0,014,成興村,10002090,五結鄉,10002,宜蘭縣
11209,A0201-08-007,137487.0,032,西門里,10002010,宜蘭市,10002,宜蘭縣
11209,A0201-08-008,46625.0,031,中山里,10002010,宜蘭市,10002,宜蘭縣
11207,A0209-16-004,51601.0,014,成興村,10002090,五結鄉,10002,宜蘭縣
11209,A0201-08-005,178131.0,030,鄂王里,10002010,宜蘭市,10002,宜蘭縣
11207,A0209-16-005,114304.0,014,成興村,10002090,五結鄉,10002,宜蘭縣
11209,A0201-08-006,207017.0,031,中山里,10002010,宜蘭市,10002,宜蘭縣
11207,A0209-16-006,173634.0,014,成興村,10002090,五結鄉,10002,宜蘭縣
11208,A0207-12-008,130694.0,006,蓁巷村,10002070,員山鄉,10002,宜蘭縣
11209,A0201-08-003,143418.0,030,鄂王里,10002010,宜蘭市,10002,宜蘭縣
