帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11207,A0704-06-004,40841.0,006,下犁村,10007040,線西鄉,10007,彰化縣
11207,A0704-06-003,60906.0,006,下犁村,10007040,線西鄉,10007,彰化縣
11207,A0704-06-006,101114.0,006,下犁村,10007040,線西鄉,10007,彰化縣
11207,A0704-06-005,149560.0,006,下犁村,10007040,線西鄉,10007,彰化縣
11208,A0702-02-006,82551.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11208,A0702-02-007,72098.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11208,A0702-02-008,39538.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11208,A0702-02-009,184549.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11204,A0715-07-009,70578.0,007,瓦南村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-008,47066.0,007,瓦南村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-007,105245.0,007,瓦南村,10007150,埔心鄉,10007,彰化縣
11211,A0708-10-003,120808.0,001,花壇村,10007080,花壇鄉,10007,彰化縣
11211,A0708-10-002,136387.0,013,橋頭村,10007080,花壇鄉,10007,彰化縣
11211,A0708-10-001,10030.0,001,花壇村,10007080,花壇鄉,10007,彰化縣
11204,A0715-07-002,102058.0,006,瓦中村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-001,200888.0,005,瓦北村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-006,99084.0,007,瓦南村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-005,68696.0,007,瓦南村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-004,17131.0,006,瓦中村,10007150,埔心鄉,10007,彰化縣
11204,A0715-07-003,1630.0,005,瓦北村,10007150,埔心鄉,10007,彰化縣
11205,A0713-03-001,21755.0,008,平和村,10007130,大村鄉,10007,彰化縣
11201,A0701-51-008,9385.0,031,平和里,10007010,彰化市,10007,彰化縣
11201,A0701-51-009,79131.0,031,平和里,10007010,彰化市,10007,彰化縣
11201,A0701-51-004,98459.0,030,磚[瑤]里,10007010,彰化市,10007,彰化縣
11201,A0701-51-005,80295.0,030,磚[瑤]里,10007010,彰化市,10007,彰化縣
11201,A0701-51-006,111497.0,030,磚[瑤]里,10007010,彰化市,10007,彰化縣
11201,A0701-51-007,58553.0,031,平和里,10007010,彰化市,10007,彰化縣
11201,A0726-08-001,158603.0,006,圳寮村,10007260,溪州鄉,10007,彰化縣
11201,A0726-08-002,55631.0,009,西畔村,10007260,溪州鄉,10007,彰化縣
11208,A0702-02-002,132409.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11206,A0720-09-004,0.0,001,東和里,10007200,二林鎮,10007,彰化縣
11208,A0702-02-003,92379.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11201,A0726-08-007,133737.0,010,張厝村,10007260,溪州鄉,10007,彰化縣
11208,A0702-02-004,53749.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11201,A0726-08-008,62338.0,007,潮洋村,10007260,溪州鄉,10007,彰化縣
11208,A0702-02-005,70184.0,023,草中里,10007020,鹿港鎮,10007,彰化縣
11201,A0726-08-005,42339.0,007,潮洋村,10007260,溪州鄉,10007,彰化縣
11201,A0726-08-006,64401.0,007,潮洋村,10007260,溪州鄉,10007,彰化縣
11201,A0726-08-003,64983.0,010,張厝村,10007260,溪州鄉,10007,彰化縣
11201,A0726-08-004,9374.0,007,潮洋村,10007260,溪州鄉,10007,彰化縣
11208,A0702-02-001,21799.0,025,山崙里,10007020,鹿港鎮,10007,彰化縣
