帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11207,A1801-29-008,83150.0,002,福德里,10018010,東區,10018,新竹市
11207,A1801-29-007,122772.0,002,福德里,10018010,東區,10018,新竹市
11207,A1801-29-006,260145.0,002,福德里,10018010,東區,10018,新竹市
11207,A1801-29-005,153649.0,003,南市里,10018010,東區,10018,新竹市
11207,A1801-29-004,146382.0,002,福德里,10018010,東區,10018,新竹市
11207,A1801-29-003,113377.0,003,南市里,10018010,東區,10018,新竹市
11204,A1803-11-004,320466.0,024,頂福里,10018030,香山區,10018,新竹市
11205,A1801-54-005,114747.0,044,仙水里,10018010,東區,10018,新竹市
11207,A1801-29-002,220341.0,002,福德里,10018010,東區,10018,新竹市
11204,A1803-11-003,65343.0,024,頂福里,10018030,香山區,10018,新竹市
11205,A1801-54-006,2194.0,047,科園里,10018010,東區,10018,新竹市
11207,A1801-29-001,161759.0,003,南市里,10018010,東區,10018,新竹市
11204,A1803-11-002,113362.0,024,頂福里,10018030,香山區,10018,新竹市
11205,A1801-54-007,115340.0,044,仙水里,10018010,東區,10018,新竹市
11204,A1803-11-001,119237.0,024,頂福里,10018030,香山區,10018,新竹市
11205,A1801-54-008,61571.0,044,仙水里,10018010,東區,10018,新竹市
11204,A1802-41-007,256742.0,034,南勢里,10018020,北區,10018,新竹市
11205,A1801-54-001,148682.0,047,科園里,10018010,東區,10018,新竹市
11204,A1802-41-008,92370.0,034,南勢里,10018020,北區,10018,新竹市
11205,A1801-54-002,97554.0,047,科園里,10018010,東區,10018,新竹市
11204,A1802-41-009,114147.0,034,南勢里,10018020,北區,10018,新竹市
11205,A1801-54-003,172830.0,044,仙水里,10018010,東區,10018,新竹市
11205,A1801-54-004,83978.0,047,科園里,10018010,東區,10018,新竹市
11204,A1802-41-003,8705.0,034,南勢里,10018020,北區,10018,新竹市
11204,A1802-41-004,63158.0,034,南勢里,10018020,北區,10018,新竹市
11204,A1802-41-006,53821.0,034,南勢里,10018020,北區,10018,新竹市
11204,A1803-11-008,114940.0,024,頂福里,10018030,香山區,10018,新竹市
11204,A1803-11-007,89569.0,024,頂福里,10018030,香山區,10018,新竹市
11204,A1803-11-005,96089.0,024,頂福里,10018030,香山區,10018,新竹市
11206,A1802-16-001,5755.0,018,士林里,10018020,北區,10018,新竹市
11206,A1802-16-002,12867.0,,軍事用地,10018020,北區,10018,新竹市
11205,A1801-45-002,133807.0,041,埔頂里,10018010,東區,10018,新竹市
11205,A1801-45-001,94708.0,041,埔頂里,10018010,東區,10018,新竹市
11204,A1803-20-001,40.0,016,海山里,10018030,香山區,10018,新竹市
11204,A1803-20-002,40.0,016,海山里,10018030,香山區,10018,新竹市
11204,A1803-20-005,719828.0,017,茄苳里,10018030,香山區,10018,新竹市
