帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11210,A6802-85-006,373873.0,075,仁和里,68000020,中壢區,68000,桃園市
11210,A6802-85-007,144676.0,075,仁和里,68000020,中壢區,68000,桃園市
11204,A6801-B3-011,220.0,066,中泰里,68000010,桃園區,68000,桃園市
11204,A6801-B3-010,79895.0,066,中泰里,68000010,桃園區,68000,桃園市
11210,A6813-06-015,18006.0,008,華陵里,68000130,復興區,68000,桃園市
11210,A6802-85-001,37784.0,003,仁德里,68000020,中壢區,68000,桃園市
11210,A6802-85-002,405004.0,003,仁德里,68000020,中壢區,68000,桃園市
11210,A6802-85-003,317872.0,003,仁德里,68000020,中壢區,68000,桃園市
11210,A6802-85-004,68239.0,003,仁德里,68000020,中壢區,68000,桃園市
11212,A6802-A1-010,0.0,062,明德里,68000020,中壢區,68000,桃園市
11210,A6813-06-012,97937.0,008,華陵里,68000130,復興區,68000,桃園市
11210,A6813-06-011,40195.0,008,華陵里,68000130,復興區,68000,桃園市
11210,A6813-06-014,13392.0,006,三光里,68000130,復興區,68000,桃園市
11210,A6813-06-013,63995.0,008,華陵里,68000130,復興區,68000,桃園市
11202,A6801-97-003,11.0,003,武陵里,68000010,桃園區,68000,桃園市
11202,A6801-97-004,147727.0,042,建國里,68000010,桃園區,68000,桃園市
11210,A6813-06-010,183821.0,008,華陵里,68000130,復興區,68000,桃園市
11204,A6801-B3-004,53871.0,066,中泰里,68000010,桃園區,68000,桃園市
11211,A6810-23-005,127514.0,005,義民里,68000100,平鎮區,68000,桃園市
11211,A6810-23-006,173648.0,002,高雙里,68000100,平鎮區,68000,桃園市
11201,A6804-33-008,0.0,013,瑞塘里,68000040,楊梅區,68000,桃園市
11204,A6801-B3-002,32542.0,066,中泰里,68000010,桃園區,68000,桃園市
11211,A6810-23-003,208834.0,003,復旦里,68000100,平鎮區,68000,桃園市
11204,A6801-B3-001,31183.0,066,中泰里,68000010,桃園區,68000,桃園市
11211,A6810-23-004,108458.0,003,復旦里,68000100,平鎮區,68000,桃園市
11211,A6810-23-001,71243.0,003,復旦里,68000100,平鎮區,68000,桃園市
11211,A6810-23-002,253254.0,003,復旦里,68000100,平鎮區,68000,桃園市
11204,A6801-B3-009,41455.0,066,中泰里,68000010,桃園區,68000,桃園市
11204,A6801-B3-008,42533.0,066,中泰里,68000010,桃園區,68000,桃園市
11204,A6801-B3-007,82503.0,066,中泰里,68000010,桃園區,68000,桃園市
11209,A6802-48-002,0.0,078,自治里,68000020,中壢區,68000,桃園市
11204,A6801-B3-006,66845.0,066,中泰里,68000010,桃園區,68000,桃園市
11204,A6808-47-010,28344.0,004,瑞發里,68000080,八德區,68000,桃園市
11204,A6801-B3-005,91055.0,066,中泰里,68000010,桃園區,68000,桃園市
11204,A6808-47-005,216766.0,028,瑞泰里,68000080,八德區,68000,桃園市
11204,A6808-47-004,42622.0,028,瑞泰里,68000080,八德區,68000,桃園市
11204,A6808-47-003,68984.0,028,瑞泰里,68000080,八德區,68000,桃園市
11204,A6808-47-002,247054.0,028,瑞泰里,68000080,八德區,68000,桃園市
11204,A6808-47-009,71276.0,004,瑞發里,68000080,八德區,68000,桃園市
11208,A6809-31-002,247476.0,010,中正里,68000090,龍潭區,68000,桃園市
11204,A6808-47-008,69320.0,004,瑞發里,68000080,八德區,68000,桃園市
11208,A6809-31-003,184318.0,010,中正里,68000090,龍潭區,68000,桃園市
11204,A6808-47-007,72760.0,004,瑞發里,68000080,八德區,68000,桃園市
11204,A6808-47-006,134820.0,028,瑞泰里,68000080,八德區,68000,桃園市
11208,A6809-31-001,182963.0,010,中正里,68000090,龍潭區,68000,桃園市
11208,A6809-31-006,145730.0,010,中正里,68000090,龍潭區,68000,桃園市
11209,A6803-27-001,130324.0,005,月眉里,68000030,大溪區,68000,桃園市
11208,A6809-31-004,53452.0,010,中正里,68000090,龍潭區,68000,桃園市
11209,A6803-27-003,674.0,007,美華里,68000030,大溪區,68000,桃園市
11208,A6809-31-005,83923.0,010,中正里,68000090,龍潭區,68000,桃園市
11209,A6803-27-002,920.0,007,美華里,68000030,大溪區,68000,桃園市
11209,A6803-27-005,98786.0,003,一心里,68000030,大溪區,68000,桃園市
11211,A6810-23-009,130905.0,002,高雙里,68000100,平鎮區,68000,桃園市
11208,A6809-31-008,561.0,009,上林里,68000090,龍潭區,68000,桃園市
11211,A6810-23-007,67845.0,002,高雙里,68000100,平鎮區,68000,桃園市
11211,A6810-23-008,147097.0,002,高雙里,68000100,平鎮區,68000,桃園市
11212,A6801-C2-009,79972.0,033,福林里,68000010,桃園區,68000,桃園市
11212,A6801-C2-008,83482.0,043,大豐里,68000010,桃園區,68000,桃園市
11212,A6808-56-010,55141.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6801-C2-005,98180.0,043,大豐里,68000010,桃園區,68000,桃園市
11207,A6810-66-005,0.0,026,新安里,68000100,平鎮區,68000,桃園市
11212,A6801-C2-004,84140.0,043,大豐里,68000010,桃園區,68000,桃園市
11212,A6801-C2-007,107221.0,033,福林里,68000010,桃園區,68000,桃園市
11212,A6801-C2-006,109518.0,033,福林里,68000010,桃園區,68000,桃園市
11212,A6801-C2-001,69535.0,044,福安里,68000010,桃園區,68000,桃園市
11212,A6801-C2-003,71099.0,043,大豐里,68000010,桃園區,68000,桃園市
11212,A6801-C2-002,53035.0,043,大豐里,68000010,桃園區,68000,桃園市
11204,A6808-47-001,52553.0,028,瑞泰里,68000080,八德區,68000,桃園市
11201,A6805-12-010,111663.0,025,營盤里,68000050,蘆竹區,68000,桃園市
11212,A6808-56-009,94937.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-003,126170.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-004,88846.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-001,31679.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-002,42299.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-007,62329.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-008,96513.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-005,1101736.0,001,興仁里,68000080,八德區,68000,桃園市
11212,A6808-56-006,463875.0,001,興仁里,68000080,八德區,68000,桃園市
11209,A6804-06-013,109191.0,023,瑞原里,68000040,楊梅區,68000,桃園市
11210,A6813-06-009,32597.0,008,華陵里,68000130,復興區,68000,桃園市
11209,A6804-06-011,208385.0,023,瑞原里,68000040,楊梅區,68000,桃園市
11209,A6804-06-012,45053.0,023,瑞原里,68000040,楊梅區,68000,桃園市
11210,A6813-06-005,56006.0,009,羅浮里,68000130,復興區,68000,桃園市
11210,A6813-06-004,22623.0,003,義盛里,68000130,復興區,68000,桃園市
11210,A6813-06-007,1988.0,010,高義里,68000130,復興區,68000,桃園市
11210,A6813-06-006,43209.0,003,義盛里,68000130,復興區,68000,桃園市
11210,A6813-06-001,110273.0,009,羅浮里,68000130,復興區,68000,桃園市
11210,A6813-06-003,17784.0,009,羅浮里,68000130,復興區,68000,桃園市
11210,A6813-06-002,56069.0,009,羅浮里,68000130,復興區,68000,桃園市
11208,A6808-52-005,62427.0,003,瑞豐里,68000080,八德區,68000,桃園市
11208,A6808-52-004,106710.0,005,瑞德里,68000080,八德區,68000,桃園市
11204,A6809-26-001,266642.0,002,中山里,68000090,龍潭區,68000,桃園市
11208,A6808-52-007,42805.0,005,瑞德里,68000080,八德區,68000,桃園市
11205,A6807-22-008,2291.0,018,舊路里,68000070,龜山區,68000,桃園市
11208,A6808-52-006,103592.0,005,瑞德里,68000080,八德區,68000,桃園市
11205,A6807-22-009,21433.0,018,舊路里,68000070,龜山區,68000,桃園市
11208,A6808-52-009,112577.0,005,瑞德里,68000080,八德區,68000,桃園市
11208,A6808-52-008,82713.0,005,瑞德里,68000080,八德區,68000,桃園市
11208,A6808-52-001,99288.0,004,瑞發里,68000080,八德區,68000,桃園市
11208,A6808-52-003,120759.0,003,瑞豐里,68000080,八德區,68000,桃園市
11208,A6808-52-002,158801.0,005,瑞德里,68000080,八德區,68000,桃園市
11205,A6807-22-011,102065.0,017,龍壽里,68000070,龜山區,68000,桃園市
11205,A6807-22-012,137891.0,017,龍壽里,68000070,龜山區,68000,桃園市
11205,A6807-22-013,95479.0,018,舊路里,68000070,龜山區,68000,桃園市
11205,A6807-22-015,17892.0,016,嶺頂里,68000070,龜山區,68000,桃園市
11205,A6807-22-016,139457.0,016,嶺頂里,68000070,龜山區,68000,桃園市
11209,A6801-69-006,135712.0,040,中興里,68000010,桃園區,68000,桃園市
11205,A6807-22-017,58737.0,016,嶺頂里,68000070,龜山區,68000,桃園市
11209,A6801-69-007,153090.0,040,中興里,68000010,桃園區,68000,桃園市
11202,A6802-76-001,110980.0,013,仁愛里,68000020,中壢區,68000,桃園市
11205,A6807-22-018,30017.0,016,嶺頂里,68000070,龜山區,68000,桃園市
11209,A6801-69-004,111992.0,040,中興里,68000010,桃園區,68000,桃園市
11209,A6801-69-005,227480.0,040,中興里,68000010,桃園區,68000,桃園市
11209,A6801-69-002,90470.0,040,中興里,68000010,桃園區,68000,桃園市
11202,A6802-76-002,165598.0,023,篤行里,68000020,中壢區,68000,桃園市
11209,A6801-69-003,72409.0,040,中興里,68000010,桃園區,68000,桃園市
11202,A6802-76-004,693.0,023,篤行里,68000020,中壢區,68000,桃園市
11209,A6801-69-001,72960.0,040,中興里,68000010,桃園區,68000,桃園市
11208,A6808-52-010,55897.0,005,瑞德里,68000080,八德區,68000,桃園市
11209,A6801-69-008,29266.0,040,中興里,68000010,桃園區,68000,桃園市
11209,A6801-69-009,45793.0,040,中興里,68000010,桃園區,68000,桃園市
