帳單年月,一級發布區代碼,度數,村里代碼,村里名稱,鄉鎮區代碼,鄉鎮區名稱,縣市代碼,縣市名稱
11209,A0501-12-008,38552.0,015,上苗里,10005010,苗栗市,10005,苗栗縣
11209,A0501-12-007,261800.0,015,上苗里,10005010,苗栗市,10005,苗栗縣
11211,A0502-11-011,94816.0,024,山柑里,10005020,苑裡鎮,10005,苗栗縣
11209,A0501-12-006,138544.0,015,上苗里,10005010,苗栗市,10005,苗栗縣
11211,A0502-11-010,138698.0,024,山柑里,10005020,苑裡鎮,10005,苗栗縣
11209,A0501-12-005,154473.0,015,上苗里,10005010,苗栗市,10005,苗栗縣
11207,A0518-01-011,45717.0,003,清安村,10005180,泰安鄉,10005,苗栗縣
11207,A0518-01-010,21014.0,003,清安村,10005180,泰安鄉,10005,苗栗縣
11207,A0518-01-012,2240.0,004,大興村,10005180,泰安鄉,10005,苗栗縣
11209,A0509-04-008,22928.0,012,五谷村,10005090,公館鄉,10005,苗栗縣
11209,A0509-04-007,65.0,012,五谷村,10005090,公館鄉,10005,苗栗縣
11203,A6610-02-001,0.0,025,明正里,66000100,東勢區,66000,臺中市
11207,A0518-01-008,69718.0,003,清安村,10005180,泰安鄉,10005,苗栗縣
11207,A0518-01-007,15702.0,002,錦水村,10005180,泰安鄉,10005,苗栗縣
11211,A0502-11-001,110462.0,025,田心里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-005,85298.0,013,新復里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-004,99219.0,025,田心里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-003,59732.0,019,社苓里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-002,101765.0,025,田心里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-009,54885.0,025,田心里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-008,79868.0,019,社苓里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-007,61810.0,025,田心里,10005020,苑裡鎮,10005,苗栗縣
11211,A0502-11-006,79684.0,025,田心里,10005020,苑裡鎮,10005,苗栗縣
11202,A0502-01-002,840.0,005,苑港里,10005020,苑裡鎮,10005,苗栗縣
11202,A0502-01-004,74620.0,004,西平里,10005020,苑裡鎮,10005,苗栗縣
11204,A0501-06-002,4947.0,020,新川里,10005010,苗栗市,10005,苗栗縣
11202,A0502-01-006,92009.0,004,西平里,10005020,苑裡鎮,10005,苗栗縣
11202,A0502-01-008,8394.0,004,西平里,10005020,苑裡鎮,10005,苗栗縣
11205,A0506-15-008,40.0,023,南港里,10005060,後龍鎮,10005,苗栗縣
11202,A0502-01-009,104438.0,004,西平里,10005020,苑裡鎮,10005,苗栗縣
11205,A0506-15-009,5416.0,023,南港里,10005060,後龍鎮,10005,苗栗縣
11204,A0501-06-005,134.0,022,福麗里,10005010,苗栗市,10005,苗栗縣
11205,A0506-15-003,0.0,023,南港里,10005060,後龍鎮,10005,苗栗縣
11203,A0502-02-001,14287.0,005,苑港里,10005020,苑裡鎮,10005,苗栗縣
11202,A0509-14-001,83485.0,009,福星村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-002,75607.0,009,福星村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-003,25496.0,007,石墻村,10005090,公館鄉,10005,苗栗縣
11207,A0504-12-008,120001.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11207,A0504-12-009,253992.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11207,A0504-12-006,126254.0,007,聖福里,10005040,竹南鎮,10005,苗栗縣
11207,A0504-12-007,60742.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11202,A0502-01-010,135195.0,006,西勢里,10005020,苑裡鎮,10005,苗栗縣
11207,A0504-12-010,23077.0,012,中華里,10005040,竹南鎮,10005,苗栗縣
11212,A0516-01-002,418.0,003,銅鏡村,10005160,三灣鄉,10005,苗栗縣
11212,A0516-01-001,5405.0,002,內灣村,10005160,三灣鄉,10005,苗栗縣
11212,A0516-01-003,2146.0,001,三灣村,10005160,三灣鄉,10005,苗栗縣
11201,A0504-05-008,174971.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11201,A0504-05-005,138877.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11201,A0504-05-004,89183.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11201,A0504-05-007,136441.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11201,A0504-05-006,36562.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11201,A0504-05-001,259693.0,021,崎頂里,10005040,竹南鎮,10005,苗栗縣
11201,A0504-05-003,101647.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11212,A0509-07-001,24103.0,014,鶴岡村,10005090,公館鄉,10005,苗栗縣
11201,A0504-05-002,39437.0,010,山佳里,10005040,竹南鎮,10005,苗栗縣
11212,A0509-07-002,54330.0,013,玉谷村,10005090,公館鄉,10005,苗栗縣
11207,A0504-12-001,104597.0,007,聖福里,10005040,竹南鎮,10005,苗栗縣
11207,A0504-12-004,77547.0,007,聖福里,10005040,竹南鎮,10005,苗栗縣
11207,A0504-12-005,187804.0,007,聖福里,10005040,竹南鎮,10005,苗栗縣
11207,A0504-12-002,159693.0,007,聖福里,10005040,竹南鎮,10005,苗栗縣
11202,A0509-14-004,22526.0,007,石墻村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-005,62178.0,007,石墻村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-006,54323.0,007,石墻村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-007,89483.0,008,福基村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-008,123211.0,008,福基村,10005090,公館鄉,10005,苗栗縣
11202,A0509-14-009,92937.0,007,石墻村,10005090,公館鄉,10005,苗栗縣
11208,A0501-11-004,62751.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-003,187766.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-002,48073.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-001,19974.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11206,A6629-02-002,0.0,006,達觀里,66000290,和平區,66000,臺中市
11211,A0501-32-007,48104.0,023,水源里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-006,134440.0,013,勝利里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-009,189687.0,023,水源里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-008,96064.0,023,水源里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-001,30633.0,013,勝利里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-003,36413.0,023,水源里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-002,101736.0,013,勝利里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-005,46851.0,023,水源里,10005010,苗栗市,10005,苗栗縣
11211,A0501-32-004,72163.0,023,水源里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-012,96417.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-011,55408.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11203,A0501-23-002,23018.0,001,中苗里,10005010,苗栗市,10005,苗栗縣
11203,A0501-23-001,45513.0,022,福麗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-009,88574.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11203,A0501-23-006,19757.0,003,青苗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-008,135301.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-006,202962.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11203,A0501-23-003,30592.0,022,福麗里,10005010,苗栗市,10005,苗栗縣
11208,A0501-11-005,207920.0,016,北苗里,10005010,苗栗市,10005,苗栗縣
11201,A0505-02-004,2214.0,016,山下里,10005050,頭份鎮,10005,苗栗縣
11201,A0505-02-005,10137.0,016,山下里,10005050,頭份鎮,10005,苗栗縣
11201,A0505-02-006,67277.0,016,山下里,10005050,頭份鎮,10005,苗栗縣
11202,A0503-09-010,128223.0,004,梅南里,10005030,通霄鎮,10005,苗栗縣
11201,A0505-02-003,48611.0,016,山下里,10005050,頭份鎮,10005,苗栗縣
11208,A0510-10-002,34053.0,008,興隆村,10005100,銅鑼鄉,10005,苗栗縣
11208,A0510-10-003,10163.0,008,興隆村,10005100,銅鑼鄉,10005,苗栗縣
11211,A0504-16-007,158023.0,002,照南里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-008,188425.0,001,竹南里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-009,184333.0,005,大厝里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-003,224883.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-004,76957.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-005,341928.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-006,141366.0,002,照南里,10005040,竹南鎮,10005,苗栗縣
11202,A0503-09-002,96295.0,003,平元里,10005030,通霄鎮,10005,苗栗縣
11204,A0502-03-010,40.0,001,苑東里,10005020,苑裡鎮,10005,苗栗縣
11202,A0503-09-003,131115.0,003,平元里,10005030,通霄鎮,10005,苗栗縣
11211,A0504-16-001,85373.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11211,A0504-16-002,15578.0,006,營盤里,10005040,竹南鎮,10005,苗栗縣
11202,A0503-09-006,69376.0,003,平元里,10005030,通霄鎮,10005,苗栗縣
11202,A0503-09-007,107418.0,003,平元里,10005030,通霄鎮,10005,苗栗縣
11202,A0503-09-004,27430.0,003,平元里,10005030,通霄鎮,10005,苗栗縣
11202,A0503-09-005,73282.0,003,平元里,10005030,通霄鎮,10005,苗栗縣
11202,A0503-09-008,145883.0,004,梅南里,10005030,通霄鎮,10005,苗栗縣
11209,A0508-07-002,76012.0,009,東興村,10005080,大湖鄉,10005,苗栗縣
11211,A0501-14-006,155718.0,021,文山里,10005010,苗栗市,10005,苗栗縣
11209,A0508-07-003,115705.0,009,東興村,10005080,大湖鄉,10005,苗栗縣
11211,A0501-14-007,65837.0,021,文山里,10005010,苗栗市,10005,苗栗縣
11209,A0508-07-004,77364.0,010,武榮村,10005080,大湖鄉,10005,苗栗縣
11211,A0501-14-008,175200.0,022,福麗里,10005010,苗栗市,10005,苗栗縣
11209,A0508-07-005,110017.0,011,栗林村,10005080,大湖鄉,10005,苗栗縣
11211,A0501-14-009,86742.0,022,福麗里,10005010,苗栗市,10005,苗栗縣
11201,A0510-02-001,1265.0,003,朝陽村,10005100,銅鑼鄉,10005,苗栗縣
11211,A0501-14-002,57165.0,021,文山里,10005010,苗栗市,10005,苗栗縣
11211,A0501-14-003,74100.0,021,文山里,10005010,苗栗市,10005,苗栗縣
11211,A0501-14-004,43449.0,021,文山里,10005010,苗栗市,10005,苗栗縣
11209,A0508-07-001,42793.0,009,東興村,10005080,大湖鄉,10005,苗栗縣
11201,A0510-02-004,5551.0,002,銅鑼村,10005100,銅鑼鄉,10005,苗栗縣
11201,A0510-02-003,181.0,001,福興村,10005100,銅鑼鄉,10005,苗栗縣
11201,A0510-02-002,15363.0,007,中平村,10005100,銅鑼鄉,10005,苗栗縣
