行業別大類,行業別中類,行業別小類,月份,售電量
A.農、林、漁、牧業,01 農、牧業,011 農作物栽培業,01,39410214
A.農、林、漁、牧業,01 農、牧業,012 畜牧業,01,50575267
A.農、林、漁、牧業,01 農、牧業,013 農事及畜牧服務業,01,60037286
A.農、林、漁、牧業,02 林業,021 林業,01,170842
A.農、林、漁、牧業,03 漁業,031 漁撈業,01,84932
A.農、林、漁、牧業,03 漁業,032 水產養殖業,01,81506715
B.礦業及土石採取業,05 石油及天然氣礦業,,01,3063407
B.礦業及土石採取業,06 砂、石採取及其他礦業,,01,23204677
C.製造業,08 食品及飲料製造業,081 肉類加工及保藏業,01,37413436
C.製造業,08 食品及飲料製造業,082 水產加工及保藏業,01,16585573
C.製造業,08 食品及飲料製造業,083 蔬果加工及保藏業,01,16939708
C.製造業,08 食品及飲料製造業,084 動植物油脂製造業,01,13370327
C.製造業,08 食品及飲料製造業,085 乳品製造業,01,16798371
C.製造業,08 食品及飲料製造業,086 碾榖、磨粉及澱粉製品製造業,01,20498989
C.製造業,08 食品及飲料製造業,087 動物飼品製造業,01,27868912
C.製造業,08 食品及飲料製造業,089 其他食品製造業,01,133442424
C.製造業,09 飲料製造業,091 酒精飲料製造業,01,9166500
C.製造業,09 飲料製造業,092 非酒精飲料製造業,01,24381865
C.製造業,10菸草製造業,,01,3542353
C.製造業,11 紡織業,111 紡紗業,01,110419974
C.製造業,11 紡織業,112 織布業,01,168217701
C.製造業,11 紡織業,113 不織布業,01,31670576
C.製造業,11 紡織業,114 染整業,01,57377324
C.製造業,11 紡織業,115 紡織品製造業,01,23575991
C.製造業,12 成衣及服飾品製造業,121 成衣製造業,01,11845446
C.製造業,12 成衣及服飾品製造業,123 服飾品製造業,01,3551631
C.製造業,13 皮革、毛皮及其製品製造業,,01,10577462
C.製造業,14 木竹製品製造業,,01,11230749
C.製造業,15 紙漿、紙及紙製品製造業,151 紙漿、紙及紙板製造業,01,100553332
C.製造業,15 紙漿、紙及紙製品製造業,152 瓦楞紙板及紙容器製造業,01,33466641
C.製造業,15 紙漿、紙及紙製品製造業,153 其他紙製品製造業,01,33003251
C.製造業,16 印刷及資料儲存媒體複製業,,01,35384355
C.製造業,17 石油及煤製品製造業,,01,145719478
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,181 化學原材料製造業,01,470360479
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,183 肥料及氮化合物製造業,01,13326157
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,184 塑膠及合成橡膠原料製造業,01,213212100
C.製造業,18 化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維,185 人造纖維製造業,01,127606312
C.製造業,19 其他化學製品製造業,191 農藥及環境用藥製造業,01,4786780
C.製造業,19 其他化學製品製造業,192 塗料、染料及顏料製造業,01,18853583
C.製造業,19 其他化學製品製造業,193 清潔用品及化粧品製造業,01,11779175
C.製造業,19 其他化學製品製造業,199 未分類其他化學製品製造業,01,130971981
C.製造業,20 藥品及醫用化學製品製造業,,01,60766212
C.製造業,21 橡膠製品製造業,,01,86893411
C.製造業,22 塑膠製品製造業,,01,453217824
C.製造業,23 非金屬礦物製品製造業,231 玻璃及其製品製造業,01,232734567
C.製造業,23 非金屬礦物製品製造業,232 耐火、黏土建材及其他陶瓷製品製造業,01,34492362
C.製造業,23 非金屬礦物製品製造業,233 水泥及其製品製造業,01,158282172
C.製造業,23 非金屬礦物製品製造業,234 石材製品製造業,01,9721890
C.製造業,23 非金屬礦物製品製造業,239 其他非金屬礦物製品製造業,01,41106878
C.製造業,24 基本金屬製造業,241 鋼鐵製造業,01,1004524275
C.製造業,24 基本金屬製造業,242 鋁製造業,01,73603667
C.製造業,24 基本金屬製造業,243 銅製造業,01,99698204
C.製造業,24 基本金屬製造業,249 其他基本金屬製造業,01,27374168
C.製造業,25 金屬製品製造業,251 金屬刀具、手工具及模具製造業,01,90481144
C.製造業,25 金屬製品製造業,252 金屬結構及建築組件製造業,01,70094651
C.製造業,25 金屬製品製造業,253 金屬容器製造業,01,11745252
C.製造業,25 金屬製品製造業,254 金屬加工處理業,01,197076845
C.製造業,25 金屬製品製造業,259 其他金屬製品製造業,01,185848256
C.製造業,26 電子零組件製造業,261 半導體製造業,01,2358479320
C.製造業,26 電子零組件製造業,262 被動電子元件製造業,01,152291037
C.製造業,26 電子零組件製造業,263 印刷電路板製造業,01,288718509
C.製造業,26 電子零組件製造業,264 光電材料及元件製造業,01,930961851
C.製造業,26 電子零組件製造業,269 其他電子零組件製造業,01,309655400
C.製造業,27 電腦、電子產品及光學製品製造業,271 電腦及其週邊設備製造業,01,44718043
C.製造業,27 電腦、電子產品及光學製品製造業,272 通訊傳播設備製造業,01,21986016
C.製造業,27 電腦、電子產品及光學製品製造業,273 視聽電子產品製造業,01,6457494
C.製造業,27 電腦、電子產品及光學製品製造業,274 資料儲存媒體製造業,01,18818091
C.製造業,27 電腦、電子產品及光學製品製造業,275 量測、導航、控制設備及鐘錶製造業,01,14750011
C.製造業,27 電腦、電子產品及光學製品製造業,276 輻射及電子醫學設備製造業,01,1165301
C.製造業,27 電腦、電子產品及光學製品製造業,277 光學儀器及設備製造業,01,67752566
C.製造業,28 電力設備及配備製造業,281 發電、輸電及配電機械製造業,01,18612772
C.製造業,28 電力設備及配備製造業,282 電池製造業,01,20743364
C.製造業,28 電力設備及配備製造業,283 電線及配線器材製造業,01,42807738
C.製造業,28 電力設備及配備製造業,284 照明設備及配備製造業,01,5605052
C.製造業,28 電力設備及配備製造業,285 家用電器製造業,01,15530486
C.製造業,28 電力設備及配備製造業,289 其他電力設備及配備製造業,01,96605244
C.製造業,29 機械設備製造業,291 金屬加工用機械設備製造業,01,44532349
