西元年,單位,總發電量_全國(數值),抽蓄水力_全國(數值),火力_全國(數值),火力_燃煤_全國(數值),火力_燃油_全國(數值),火力_燃氣_全國(數值),核能_全國(數值),再生能源_全國(數值),再生能源_慣常水力_全國(數值),再生能源_地熱_全國(數值),再生能源_太陽光電_全國,再生能源_風力_全國,再生能源_生質能_全國,再生能源_廢棄物_全國,總發電量_台電,抽蓄水力_台電,火力_台電,火力_燃煤_台電,火力_燃油_台電,火力_燃氣_台電,核能_台電,再生能源_台電,再生能源_慣常水力_台電,再生能源_地熱_台電,再生能源_太陽光電_台電,再生能源_風力_台電,總發電量_民營電廠,火力_民營電廠,火力_燃煤_民營電廠,火力_燃氣_民營電廠,再生能源_民營電廠,再生能源_慣常水力_民營電廠,再生能源_地熱_民營電廠,再生能源_太陽光電_民營電廠,再生能源_風力_民營電廠,總發電量_自用發電設備,火力_自用發電設備,火力_燃煤_自用發電設備,火力_燃油_自用發電設備,火力_燃氣_自用發電設備,再生能源_自用發電設備,再生能源_慣常水力_自用發電設備,再生能源_地熱_自用發電設備,再生能源_太陽光電_自用發電設備,再生能源_風力_自用發電設備,再生能源_生質能_自用發電設備,再生能源_廢棄物_自用發電設備
2004,百萬度,218396.6319,3345.689424,168975.8897,115331.464,17485.68133,36158.74431,39490.065,6584.987801,3209.869181,0,0.584,25.252811,348.523683,3000.758126,140372.5709,3345.689424,94340.10514,61979.08213,11383.42131,20977.6017,39490.065,3196.711326,3183.881422,0,0,12.829904,35404.20405,35378.21629,21099.77289,14278.4434,25.987759,25.987759,0,0,0,42619.85695,39257.56824,32252.609,6102.260024,902.699211,3362.288716,0,0,0.584,12.422907,348.523683,3000.758126
2005,百萬度,227512.2501,3838.51825,176160.7789,120044.189,17200.78167,38915.80819,39972.008,7540.944946,4071.373596,0,0.96,91.300426,323.477933,3053.832991,147466.595,3838.51825,99551.53094,65769.88165,10919.57281,22862.07648,39972.008,4104.537834,4027.543073,0,0,76.994761,37564.4264,37520.59588,21971.5475,15549.04837,43.830523,43.830523,0,0,0,42481.22865,39088.65206,32302.75987,6281.208863,504.68333,3392.576589,0,0,0.96,14.305665,323.477933,3053.832991
2006,百萬度,235530.1255,3910.666721,184005.1126,124048.8035,19846.58705,40109.72207,39870.4978,7743.848403,4088.350767,0,1.457,276.074732,321.292219,3056.673685,156172.6496,3910.666721,108189.1453,68793.98803,14465.00274,24930.15453,39870.4978,4202.339778,4028.148429,0,0,174.191349,37025.99107,36875.63699,22190.82345,14684.81353,150.354085,60.202338,0,0,90.151747,42331.48483,38940.33029,33063.99198,5381.584308,494.754002,3391.15454,0,0,1.457,11.731636,321.292219,3056.673685
2007,百萬度,243116.584,3932.70126,190319.9108,128462.8145,16823.8627,45033.23356,40539.16,8324.811924,4417.549905,0,2.18,439.534507,302.267458,3163.280054,161152.6489,3932.70126,112082.2893,70657.37768,12198.48095,29226.43063,40539.16,4598.49837,4322.035413,0,0,276.462957,37643.4425,37395.02604,22342.97881,15052.04722,248.416463,95.514492,0,0,152.901971,44320.49256,40842.59547,35462.45802,4625.381745,754.755704,3477.897091,0,0,2.18,10.169579,302.267458,3163.280054
2008,百萬度,238305.3653,3467.1645,185752.2817,122201.7908,15038.68669,48511.80412,40826.8596,8259.059513,4305.105175,0,4.473143,588.265167,272.488611,3088.727417,162044.7045,3467.1645,113317.124,69218.3003,11446.32579,32652.49787,40826.8596,4433.556408,4160.770365,0,0.096286,272.689757,36930.9875,36480.25678,21361.03796,15119.21883,450.730713,144.33481,0,0,306.395903,39329.67331,35954.90092,31622.45259,3592.360907,740.08742,3374.772392,0,0,4.376857,9.179507,272.488611,3088.727417
2009,百萬度,230037.1593,3305.104383,177351.401,120667.9636,9402.803989,47280.63344,41571.1288,7809.525073,3748.28819,0,9.112535,786.635449,229.349499,3036.1394,150129.5847,3305.104383,101280.1047,64304.68525,6126.430248,30848.98916,41571.1288,3973.246853,3601.469201,0,0.098128,371.679524,40172.42793,39618.93004,23906.52618,15712.40386,553.497892,146.818989,0,0,406.678903,39735.14668,36452.36635,32456.75219,3276.373741,719.240413,3282.780328,0,0,9.014407,8.277022,229.349499,3036.1394
2010,百萬度,247058.8669,3060.998999,193729.4208,122352.7243,11130.82776,60245.86875,41628.6891,8639.75803,4194.101306,0,21.727004,1026.337795,270.037639,3127.554286,165008.7279,3060.998999,115726.6246,64902.22066,8254.656848,42569.74714,41628.6891,4592.415205,4073.351615,0,3.860211,515.203379,41422.66198,40801.0752,24070.03063,16731.04457,621.58678,120.749691,0,0,500.837089,40627.47702,37201.72098,33380.47303,2876.170908,945.077044,3425.756045,0,0,17.866793,10.297327,270.037639,3127.554286
2011,百萬度,252167.0142,2902.108,198161.3544,124467.9542,9487.809297,64205.59088,42116.4908,8987.061008,3999.726499,0,61.622537,1492.676671,236.091082,3196.944219,170066.8748,2902.108,120353.4812,67896.79258,7307.676672,45149.01198,42116.4908,4694.794786,3883.184434,0,8.643787,802.966565,42280.37038,41480.57386,23225.54048,18255.03338,799.79652,116.542065,0,0,683.254455,39819.76901,36327.29931,33345.62116,2180.132625,801.54552,3492.469702,0,0,52.97875,6.455651,236.091082,3196.944219
2012,百萬度,250373.4248,2936.9005,196352.0868,122436.7759,7623.246376,66292.06455,40421.7298,10662.7077,5669.557962,0,159.869831,1413.468482,242.070117,3177.741305,172749.5734,2936.9005,123128.8641,67500.06116,5659.842872,49968.96008,40421.7298,6262.078962,5512.326012,0,13.207962,736.544988,40059.54798,39233.98284,23680.67685,15553.30599,825.565141,157.23195,0,0,668.333191,37564.30344,33989.23984,31256.03785,1963.403504,769.798489,3575.063594,0,0,146.661869,8.590303,242.070117,3177.741305
2013,百萬度,252340.8145,3187.087,196656.2216,121449.09,6818.130974,68389.00064,41639.36,10858.1459,5422.889721,0,321.096236,1640.007611,228.480687,3245.671649,171278.2242,3187.087,120414.1437,63813.0316,5275.254669,51325.85738,41639.36,6037.633572,5272.801374,0,16.75795,748.074248,40531.54141,39491.84219,23077.62944,16414.21275,1039.699224,150.088347,0,5.815811,883.795066,40531.04884,36750.23573,34558.42892,1542.876305,648.930504,3780.813108,0,0,298.522475,8.138297,228.480687,3245.671649
