西元年,單位,電力消費_總計(統計數值),電力消費_能源部門自用(統計數值),電力消費_工業部門_合計(統計數值),電力消費_工業部門_紡織成衣及服飾業(統計數值),電力消費_工業部門_紙漿紙及紙製品業(統計數值),電力消費_工業部門_化學材料製造業(統計數值),電力消費_工業部門_塑膠製品製造業,電力消費_工業部門_非金屬礦物製品製造業,電力消費_工業部門_金屬基本工業,電力消費_工業部門_金屬製品製造業,電力消費_工業部門_電腦通信及視聽電子產品製造業,電力消費_工業部門_其他,電力消費_運輸部門_合計,電力消費_運輸部門_國內航空,電力消費_運輸部門_公路,電力消費_運輸部門_鐵路,電力消費_運輸部門_管線運輸,電力消費_運輸部門_國內水運,電力消費_運輸部門_其他,電力消費_農業部門,電力消費_服務業部門_合計,電力消費_服務業部門_批發及零售業,電力消費_服務業部門_住宿及餐飲業,電力消費_服務業部門_運輸服務業,電力消費_服務業部門_倉儲業,電力消費_服務業部門_通信業,電力消費_服務業部門_金融保險及不動產業,電力消費_服務業部門_工商服務業,電力消費_服務業部門_社會服務及個人服務,電力消費_服務業部門_公共行政業,電力消費_服務業部門_其他,電力消費_住宅部門
2004,百萬度,209889.2295,18937.97968,106544.7623,8033.794927,3733.782472,26305.22932,4255.693977,4523.838137,14367.84541,5676.115563,23061.27464,16587.18787,518.541237,0,0,518.541237,0,0,0,2510.736511,41789.11837,5935.805711,2262.227831,918.716114,656.550424,1345.783394,1081.041939,847.44744,7532.139022,4909.585479,16299.82102,39588.09137
2005,百萬度,218457.5189,19551.0281,109492.6808,7293.657032,3627.497776,26234.52846,4214.966371,4909.892302,14132.73108,5730.061842,26565.34737,16783.99854,563.783044,0,0,522.769917,41.013127,0,0,2489.595537,44054.88889,6216.445303,2405.087642,956.465343,679.786887,1412.751207,1125.67307,918.827719,8030.226618,5051.712081,17257.91302,42305.54259
2006,百萬度,225966.776,20251.21533,114501.0848,7066.541856,3679.740922,27193.31091,4346.002436,5216.425974,14915.25074,5891.350812,28923.69226,17268.76888,593.076178,0,0,551.470255,41.605923,0,0,2601.903368,45555.29282,6296.878802,2501.612891,1110.557893,711.307637,1438.386603,1152.3501,976.02099,8345.30726,5140.07445,17882.7962,42464.20354
2007,百萬度,233482.6857,20767.38235,120418.581,6859.084846,3658.157638,29513.93587,4599.145426,5240.622657,15343.0532,6054.367951,31352.07366,17798.13977,873.294442,0,0,830.678241,42.616201,0,0,2619.553013,45680.73413,6302.274725,2573.936114,1126.376885,711.912114,1462.298556,1148.351424,1030.237047,8387.449438,5229.779754,17708.11807,43123.14078
2008,百萬度,229685.9219,19563.02507,118114.1461,6209.066831,3399.839049,27592.56187,4439.333777,5048.031739,14676.01886,5927.117835,33143.64138,17678.5348,1140.516348,0,0,1100.556392,39.959956,0,0,2600.288252,45580.95622,6019.831512,2545.491692,1201.041177,702.97117,1448.199385,1126.423992,1066.931121,8386.841021,5265.839616,17817.38554,42686.98983
2009,百萬度,220714.9759,19032.90625,110731.6915,5551.104653,3196.673038,26924.61157,4380.31496,4531.339745,12593.81401,5125.959511,31859.73388,16568.14014,1149.629743,0,1.248008,1106.917493,41.464242,0,0,2581.999399,44151.5752,5700.827276,2546.77397,1216.09885,678.606534,1428.342091,1107.431692,1094.329257,8332.161796,5300.071528,16746.93221,43067.17378
2010,百萬度,237407.2823,19024.54027,125247.1864,6080.652727,3337.49191,28782.51415,4991.640354,5092.095128,15989.00784,6283.536421,36208.74817,18481.49974,1195.649146,0,1.561252,1150.423434,43.66446,0,0,2615.543806,45896.8504,5630.598053,2679.963961,1289.779394,701.866505,1414.093157,1103.467557,1160.374371,8470.036564,5352.173172,18094.49767,43427.51218
2011,百萬度,242086.2514,19042.67335,128883.1372,5873.744766,3424.463581,27706.70613,4930.39467,5696.262989,16723.78799,6565.526452,38619.23815,19343.01249,1246.323704,0,2.745663,1203.064552,40.513489,0,0,2726.063907,45769.64596,5461.465095,2743.632977,1288.603638,716.899338,1412.074679,1086.113012,1184.857821,8312.762125,5437.273139,18125.96414,44418.40729
2012,百萬度,241111.6083,18641.83917,129521.0338,5618.011161,3440.476702,28008.04012,4952.065982,5534.264833,16148.93398,6560.958485,39817.18175,19441.10082,1274.675463,0,5.443593,1228.559257,40.672613,0,0,2707.874578,45734.5638,5372.275023,2776.214124,1304.154121,739.767671,1425.384123,1081.10108,1194.497573,8225.396659,5467.298951,18148.47447,43231.62144
2013,百萬度,245123.3994,18405.79584,133214.8853,5563.138529,3406.430606,28710.51558,5048.436759,5748.394981,16180.10728,6754.042653,42102.68173,19701.13723,1322.985863,0,9.041108,1278.939979,35.004776,0,0,2751.220363,45855.73931,5320.232976,2853.720846,1338.475344,769.454391,1442.638383,1069.107225,1228.470116,8284.639574,5467.377244,18081.62321,43572.77266
2014,百萬度,251100.3855,18840.96401,136414.5145,5496.379284,3515.791292,28321.29292,5116.470772,5742.673537,17120.64663,7066.044543,43941.97664,20093.23888,1373.209519,0,11.879844,1321.350865,39.97881,0,0,2832.935219,46457.82141,5239.242142,2940.070467,1371.788653,790.980669,1420.024778,1028.093443,1357.342486,8266.056102,5391.01067,18653.212,45180.94088
2015,百萬度,250019.2816,18990.19261,134700.4372,5384.083862,3269.420551,27267.53245,5020.226994,5560.876211,16075.50289,7038.33376,44952.2495,20132.21095,1406.42651,0,14.688277,1347.569547,44.168686,0,0,2917.081746,47124.54137,5242.82636,3047.341223,1440.9331,804.104133,1401.791174,1009.932183,1462.319053,8348.691689,5331.944214,19034.65824,44880.60218
2016,百萬度,255420.0512,18914.70445,136890.006,5136.489562,3263.402961,27046.55252,5069.877352,5335.74319,16357.62592,7180.438863,46869.65996,20630.21565,1424.153577,0,21.922189,1363.446318,38.78507,0,0,2922.726564,47938.51817,5272.722864,3165.973138,1502.941047,841.470665,1389.057837,989.565515,1535.788431,8557.647169,5294.191164,19389.16034,47329.94246
2017,百萬度,261394.6475,19852.60443,141111.4818,4923.701736,3390.938356,27576.19743,5111.903576,5345.595916,16866.31779,7511.340678,49019.82563,21365.66065,1494.63067,0,30.871071,1425.977354,37.782245,0,0,3036.983302,48290.30925,5167.034252,3212.371852,1509.671834,876.724856,1365.433693,966.96685,1688.356655,8530.993569,5055.273584,19917.48211,47608.63812
